Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
year/2001,FNSV,SA,Current Account,"Secondary income,General government",-6045,gbp-million,summary-of-balance-of-payments
year/2001,FNTC,SA,Current Account,"Secondary income,Other sectors",-627,gbp-million,summary-of-balance-of-payments
year/2001,IKBP,SA,Current Account,"Secondary income,Total",-6672,gbp-million,summary-of-balance-of-payments
year/2001,HBOP,SA,Current Account,Current balance,-22495,gbp-million,summary-of-balance-of-payments
year/2001,FNVQ,SA,Current Account,Capital balance,73,gbp-million,summary-of-balance-of-payments
year/2002,BOKI,SA,Current Account,Trade in goods,-54112,gbp-million,summary-of-balance-of-payments
year/2002,IKBD,SA,Current Account,Trade in services,22801,gbp-million,summary-of-balance-of-payments
year/2002,IKBJ,SA,Current Account,Total trade,-31311,gbp-million,summary-of-balance-of-payments
year/2002,IJAJ,SA,Current Account,"Primary income,Compensation of employees",67,gbp-million,summary-of-balance-of-payments
year/2002,HBOM,SA,Current Account,"Primary income,Investment income",14354,gbp-million,summary-of-balance-of-payments
year/2002,MT5X,SA,Current Account,"Primary income,Other primary income",968,gbp-million,summary-of-balance-of-payments
year/2002,HBOJ,SA,Current Account,"Primary income,Total",15389,gbp-million,summary-of-balance-of-payments
year/2002,FNSV,SA,Current Account,"Secondary income,General government",-8304,gbp-million,summary-of-balance-of-payments
year/2002,FNTC,SA,Current Account,"Secondary income,Other sectors",-845,gbp-million,summary-of-balance-of-payments
year/2002,IKBP,SA,Current Account,"Secondary income,Total",-9149,gbp-million,summary-of-balance-of-payments
year/2002,HBOP,SA,Current Account,Current balance,-25071,gbp-million,summary-of-balance-of-payments
year/2002,FNVQ,SA,Current Account,Capital balance,-675,gbp-million,summary-of-balance-of-payments
year/2003,BOKI,SA,Current Account,Trade in goods,-56610,gbp-million,summary-of-balance-of-payments
year/2003,IKBD,SA,Current Account,Trade in services,28562,gbp-million,summary-of-balance-of-payments
year/2003,IKBJ,SA,Current Account,Total trade,-28048,gbp-million,summary-of-balance-of-payments
year/2003,IJAJ,SA,Current Account,"Primary income,Compensation of employees",59,gbp-million,summary-of-balance-of-payments
year/2003,HBOM,SA,Current Account,"Primary income,Investment income",14647,gbp-million,summary-of-balance-of-payments
year/2003,MT5X,SA,Current Account,"Primary income,Other primary income",1271,gbp-million,summary-of-balance-of-payments
year/2003,HBOJ,SA,Current Account,"Primary income,Total",15977,gbp-million,summary-of-balance-of-payments
year/2003,FNSV,SA,Current Account,"Secondary income,General government",-9672,gbp-million,summary-of-balance-of-payments
year/2003,FNTC,SA,Current Account,"Secondary income,Other sectors",-857,gbp-million,summary-of-balance-of-payments
year/2003,IKBP,SA,Current Account,"Secondary income,Total",-10529,gbp-million,summary-of-balance-of-payments
year/2003,HBOP,SA,Current Account,Current balance,-22600,gbp-million,summary-of-balance-of-payments
year/2003,FNVQ,SA,Current Account,Capital balance,-65,gbp-million,summary-of-balance-of-payments
year/2004,BOKI,SA,Current Account,Trade in goods,-66537,gbp-million,summary-of-balance-of-payments
year/2004,IKBD,SA,Current Account,Trade in services,32895,gbp-million,summary-of-balance-of-payments
year/2004,IKBJ,SA,Current Account,Total trade,-33642,gbp-million,summary-of-balance-of-payments
year/2004,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-494,gbp-million,summary-of-balance-of-payments
year/2004,HBOM,SA,Current Account,"Primary income,Investment income",12912,gbp-million,summary-of-balance-of-payments
year/2004,MT5X,SA,Current Account,"Primary income,Other primary income",1278,gbp-million,summary-of-balance-of-payments
year/2004,HBOJ,SA,Current Account,"Primary income,Total",13696,gbp-million,summary-of-balance-of-payments
year/2004,FNSV,SA,Current Account,"Secondary income,General government",-9484,gbp-million,summary-of-balance-of-payments
year/2004,FNTC,SA,Current Account,"Secondary income,Other sectors",-1281,gbp-million,summary-of-balance-of-payments
year/2004,IKBP,SA,Current Account,"Secondary income,Total",-10765,gbp-million,summary-of-balance-of-payments
year/2004,HBOP,SA,Current Account,Current balance,-30711,gbp-million,summary-of-balance-of-payments
year/2004,FNVQ,SA,Current Account,Capital balance,90,gbp-million,summary-of-balance-of-payments
year/2005,BOKI,SA,Current Account,Trade in goods,-72772,gbp-million,summary-of-balance-of-payments
year/2005,IKBD,SA,Current Account,Trade in services,39908,gbp-million,summary-of-balance-of-payments
year/2005,IKBJ,SA,Current Account,Total trade,-32864,gbp-million,summary-of-balance-of-payments
year/2005,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-610,gbp-million,summary-of-balance-of-payments
year/2005,HBOM,SA,Current Account,"Primary income,Investment income",18039,gbp-million,summary-of-balance-of-payments
year/2005,MT5X,SA,Current Account,"Primary income,Other primary income",1143,gbp-million,summary-of-balance-of-payments
year/2005,HBOJ,SA,Current Account,"Primary income,Total",18572,gbp-million,summary-of-balance-of-payments
year/2005,FNSV,SA,Current Account,"Secondary income,General government",-11211,gbp-million,summary-of-balance-of-payments
year/2005,FNTC,SA,Current Account,"Secondary income,Other sectors",-1293,gbp-million,summary-of-balance-of-payments
year/2005,IKBP,SA,Current Account,"Secondary income,Total",-12504,gbp-million,summary-of-balance-of-payments
year/2005,HBOP,SA,Current Account,Current balance,-26796,gbp-million,summary-of-balance-of-payments
year/2005,FNVQ,SA,Current Account,Capital balance,-843,gbp-million,summary-of-balance-of-payments
year/2006,BOKI,SA,Current Account,Trade in goods,-81159,gbp-million,summary-of-balance-of-payments
year/2006,IKBD,SA,Current Account,Trade in services,50749,gbp-million,summary-of-balance-of-payments
year/2006,IKBJ,SA,Current Account,Total trade,-30410,gbp-million,summary-of-balance-of-payments
year/2006,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-958,gbp-million,summary-of-balance-of-payments
year/2006,HBOM,SA,Current Account,"Primary income,Investment income",1339,gbp-million,summary-of-balance-of-payments
year/2006,MT5X,SA,Current Account,"Primary income,Other primary income",812,gbp-million,summary-of-balance-of-payments
year/2006,HBOJ,SA,Current Account,"Primary income,Total",1193,gbp-million,summary-of-balance-of-payments
year/2006,FNSV,SA,Current Account,"Secondary income,General government",-11582,gbp-million,summary-of-balance-of-payments
year/2006,FNTC,SA,Current Account,"Secondary income,Other sectors",-689,gbp-million,summary-of-balance-of-payments
year/2006,IKBP,SA,Current Account,"Secondary income,Total",-12271,gbp-million,summary-of-balance-of-payments
