Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
quarter/2003-Q2,HBOM,SA,Current Account,"Primary income,Investment income",3100,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,MT5X,SA,Current Account,"Primary income,Other primary income",345,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,HBOJ,SA,Current Account,"Primary income,Total",3469,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,FNSV,SA,Current Account,"Secondary income,General government",-3008,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,FNTC,SA,Current Account,"Secondary income,Other sectors",-290,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,IKBP,SA,Current Account,"Secondary income,Total",-3298,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,HBOP,SA,Current Account,Current balance,-6776,gbp-million,summary-of-balance-of-payments
quarter/2003-Q2,FNVQ,SA,Current Account,Capital balance,-140,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,BOKI,SA,Current Account,Trade in goods,-14510,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,IKBD,SA,Current Account,Trade in services,7318,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,IKBJ,SA,Current Account,Total trade,-7192,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,IJAJ,SA,Current Account,"Primary income,Compensation of employees",54,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,HBOM,SA,Current Account,"Primary income,Investment income",1441,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,MT5X,SA,Current Account,"Primary income,Other primary income",332,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,HBOJ,SA,Current Account,"Primary income,Total",1827,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,FNSV,SA,Current Account,"Secondary income,General government",-2712,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,FNTC,SA,Current Account,"Secondary income,Other sectors",-134,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,IKBP,SA,Current Account,"Secondary income,Total",-2846,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,HBOP,SA,Current Account,Current balance,-8211,gbp-million,summary-of-balance-of-payments
quarter/2003-Q3,FNVQ,SA,Current Account,Capital balance,64,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,BOKI,SA,Current Account,Trade in goods,-15413,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,IKBD,SA,Current Account,Trade in services,6770,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,IKBJ,SA,Current Account,Total trade,-8643,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,IJAJ,SA,Current Account,"Primary income,Compensation of employees",4,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,HBOM,SA,Current Account,"Primary income,Investment income",4888,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,MT5X,SA,Current Account,"Primary income,Other primary income",328,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,HBOJ,SA,Current Account,"Primary income,Total",5220,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,FNSV,SA,Current Account,"Secondary income,General government",-1983,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,FNTC,SA,Current Account,"Secondary income,Other sectors",-241,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,IKBP,SA,Current Account,"Secondary income,Total",-2224,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,HBOP,SA,Current Account,Current balance,-5647,gbp-million,summary-of-balance-of-payments
quarter/2003-Q4,FNVQ,SA,Current Account,Capital balance,114,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,BOKI,SA,Current Account,Trade in goods,-16132,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,IKBD,SA,Current Account,Trade in services,7337,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,IKBJ,SA,Current Account,Total trade,-8795,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-46,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,HBOM,SA,Current Account,"Primary income,Investment income",2521,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,MT5X,SA,Current Account,"Primary income,Other primary income",329,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,HBOJ,SA,Current Account,"Primary income,Total",2804,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,FNSV,SA,Current Account,"Secondary income,General government",-1968,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,FNTC,SA,Current Account,"Secondary income,Other sectors",-411,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,IKBP,SA,Current Account,"Secondary income,Total",-2379,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,HBOP,SA,Current Account,Current balance,-8370,gbp-million,summary-of-balance-of-payments
quarter/2004-Q1,FNVQ,SA,Current Account,Capital balance,283,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,BOKI,SA,Current Account,Trade in goods,-16981,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,IKBD,SA,Current Account,Trade in services,7688,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,IKBJ,SA,Current Account,Total trade,-9293,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-135,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,HBOM,SA,Current Account,"Primary income,Investment income",3122,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,MT5X,SA,Current Account,"Primary income,Other primary income",339,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,HBOJ,SA,Current Account,"Primary income,Total",3326,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,FNSV,SA,Current Account,"Secondary income,General government",-2365,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,FNTC,SA,Current Account,"Secondary income,Other sectors",-253,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,IKBP,SA,Current Account,"Secondary income,Total",-2618,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,HBOP,SA,Current Account,Current balance,-8585,gbp-million,summary-of-balance-of-payments
quarter/2004-Q2,FNVQ,SA,Current Account,Capital balance,189,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,BOKI,SA,Current Account,Trade in goods,-16801,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,IKBD,SA,Current Account,Trade in services,8112,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,IKBJ,SA,Current Account,Total trade,-8689,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-172,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,HBOM,SA,Current Account,"Primary income,Investment income",1264,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,MT5X,SA,Current Account,"Primary income,Other primary income",329,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,HBOJ,SA,Current Account,"Primary income,Total",1421,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,FNSV,SA,Current Account,"Secondary income,General government",-2684,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,FNTC,SA,Current Account,"Secondary income,Other sectors",-266,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,IKBP,SA,Current Account,"Secondary income,Total",-2950,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,HBOP,SA,Current Account,Current balance,-10218,gbp-million,summary-of-balance-of-payments
quarter/2004-Q3,FNVQ,SA,Current Account,Capital balance,-240,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,BOKI,SA,Current Account,Trade in goods,-16623,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,IKBD,SA,Current Account,Trade in services,9758,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,IKBJ,SA,Current Account,Total trade,-6865,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-141,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,HBOM,SA,Current Account,"Primary income,Investment income",6005,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,MT5X,SA,Current Account,"Primary income,Other primary income",281,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,HBOJ,SA,Current Account,"Primary income,Total",6145,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,FNSV,SA,Current Account,"Secondary income,General government",-2467,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,FNTC,SA,Current Account,"Secondary income,Other sectors",-351,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,IKBP,SA,Current Account,"Secondary income,Total",-2818,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,HBOP,SA,Current Account,Current balance,-3538,gbp-million,summary-of-balance-of-payments
quarter/2004-Q4,FNVQ,SA,Current Account,Capital balance,-142,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,BOKI,SA,Current Account,Trade in goods,-17865,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,IKBD,SA,Current Account,Trade in services,8374,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,IKBJ,SA,Current Account,Total trade,-9491,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-89,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,HBOM,SA,Current Account,"Primary income,Investment income",5328,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,MT5X,SA,Current Account,"Primary income,Other primary income",308,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,HBOJ,SA,Current Account,"Primary income,Total",5547,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,FNSV,SA,Current Account,"Secondary income,General government",-3066,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,FNTC,SA,Current Account,"Secondary income,Other sectors",-346,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,IKBP,SA,Current Account,"Secondary income,Total",-3412,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,HBOP,SA,Current Account,Current balance,-7356,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,FNVQ,SA,Current Account,Capital balance,274,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,BOKI,SA,Current Account,Trade in goods,-17375,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,IKBD,SA,Current Account,Trade in services,10461,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,IKBJ,SA,Current Account,Total trade,-6914,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-138,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,HBOM,SA,Current Account,"Primary income,Investment income",7431,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,MT5X,SA,Current Account,"Primary income,Other primary income",287,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,HBOJ,SA,Current Account,"Primary income,Total",7580,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,FNSV,SA,Current Account,"Secondary income,General government",-2274,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,FNTC,SA,Current Account,"Secondary income,Other sectors",-73,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,IKBP,SA,Current Account,"Secondary income,Total",-2347,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,HBOP,SA,Current Account,Current balance,-1681,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,FNVQ,SA,Current Account,Capital balance,27,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,BOKI,SA,Current Account,Trade in goods,-18673,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,IKBD,SA,Current Account,Trade in services,10356,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,IKBJ,SA,Current Account,Total trade,-8317,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-184,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,HBOM,SA,Current Account,"Primary income,Investment income",3012,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,MT5X,SA,Current Account,"Primary income,Other primary income",273,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,HBOJ,SA,Current Account,"Primary income,Total",3101,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,FNSV,SA,Current Account,"Secondary income,General government",-3423,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,FNTC,SA,Current Account,"Secondary income,Other sectors",-480,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,IKBP,SA,Current Account,"Secondary income,Total",-3903,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,HBOP,SA,Current Account,Current balance,-9119,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,FNVQ,SA,Current Account,Capital balance,-227,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,BOKI,SA,Current Account,Trade in goods,-18859,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,IKBD,SA,Current Account,Trade in services,10717,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,IKBJ,SA,Current Account,Total trade,-8142,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-199,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,HBOM,SA,Current Account,"Primary income,Investment income",2268,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,MT5X,SA,Current Account,"Primary income,Other primary income",275,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,HBOJ,SA,Current Account,"Primary income,Total",2344,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,FNSV,SA,Current Account,"Secondary income,General government",-2448,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,FNTC,SA,Current Account,"Secondary income,Other sectors",-394,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,IKBP,SA,Current Account,"Secondary income,Total",-2842,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,HBOP,SA,Current Account,Current balance,-8640,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,FNVQ,SA,Current Account,Capital balance,-917,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,BOKI,SA,Current Account,Trade in goods,-19886,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,IKBD,SA,Current Account,Trade in services,11493,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,IKBJ,SA,Current Account,Total trade,-8393,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-165,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,HBOM,SA,Current Account,"Primary income,Investment income",1585,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,MT5X,SA,Current Account,"Primary income,Other primary income",250,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,HBOJ,SA,Current Account,"Primary income,Total",1670,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,FNSV,SA,Current Account,"Secondary income,General government",-2856,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,FNTC,SA,Current Account,"Secondary income,Other sectors",-349,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,IKBP,SA,Current Account,"Secondary income,Total",-3205,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,HBOP,SA,Current Account,Current balance,-9928,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,FNVQ,SA,Current Account,Capital balance,176,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,BOKI,SA,Current Account,Trade in goods,-19166,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,IKBD,SA,Current Account,Trade in services,10839,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,IKBJ,SA,Current Account,Total trade,-8327,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-268,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,HBOM,SA,Current Account,"Primary income,Investment income",1476,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,MT5X,SA,Current Account,"Primary income,Other primary income",143,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,HBOJ,SA,Current Account,"Primary income,Total",1351,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,FNSV,SA,Current Account,"Secondary income,General government",-2392,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,FNTC,SA,Current Account,"Secondary income,Other sectors",-334,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,IKBP,SA,Current Account,"Secondary income,Total",-2726,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,HBOP,SA,Current Account,Current balance,-9702,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,FNVQ,SA,Current Account,Capital balance,-1587,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,BOKI,SA,Current Account,Trade in goods,-21391,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,IKBD,SA,Current Account,Trade in services,14396,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,IKBJ,SA,Current Account,Total trade,-6995,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-266,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,HBOM,SA,Current Account,"Primary income,Investment income",-1724,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,MT5X,SA,Current Account,"Primary income,Other primary income",220,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,HBOJ,SA,Current Account,"Primary income,Total",-1770,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,FNSV,SA,Current Account,"Secondary income,General government",-2922,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,FNTC,SA,Current Account,"Secondary income,Other sectors",161,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,IKBP,SA,Current Account,"Secondary income,Total",-2761,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,HBOP,SA,Current Account,Current balance,-11526,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,FNVQ,SA,Current Account,Capital balance,-92,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,BOKI,SA,Current Account,Trade in goods,-20716,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,IKBD,SA,Current Account,Trade in services,14021,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,IKBJ,SA,Current Account,Total trade,-6695,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-259,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,HBOM,SA,Current Account,"Primary income,Investment income",2,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,MT5X,SA,Current Account,"Primary income,Other primary income",199,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,HBOJ,SA,Current Account,"Primary income,Total",-58,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,FNSV,SA,Current Account,"Secondary income,General government",-3412,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,FNTC,SA,Current Account,"Secondary income,Other sectors",-167,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,IKBP,SA,Current Account,"Secondary income,Total",-3579,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,HBOP,SA,Current Account,Current balance,-10332,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,FNVQ,SA,Current Account,Capital balance,-24,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,BOKI,SA,Current Account,Trade in goods,-23064,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,IKBD,SA,Current Account,Trade in services,14984,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,IKBJ,SA,Current Account,Total trade,-8080,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-174,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,HBOM,SA,Current Account,"Primary income,Investment income",-1633,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,MT5X,SA,Current Account,"Primary income,Other primary income",204,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,HBOJ,SA,Current Account,"Primary income,Total",-1603,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,FNSV,SA,Current Account,"Secondary income,General government",-2614,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,FNTC,SA,Current Account,"Secondary income,Other sectors",-413,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,IKBP,SA,Current Account,"Secondary income,Total",-3027,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,HBOP,SA,Current Account,Current balance,-12710,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,FNVQ,SA,Current Account,Capital balance,-164,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,BOKI,SA,Current Account,Trade in goods,-21318,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,IKBD,SA,Current Account,Trade in services,14581,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,IKBJ,SA,Current Account,Total trade,-6737,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-164,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,HBOM,SA,Current Account,"Primary income,Investment income",-498,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,MT5X,SA,Current Account,"Primary income,Other primary income",115,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,HBOJ,SA,Current Account,"Primary income,Total",-547,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,FNSV,SA,Current Account,"Secondary income,General government",-2528,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,FNTC,SA,Current Account,"Secondary income,Other sectors",-513,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,IKBP,SA,Current Account,"Secondary income,Total",-3041,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,HBOP,SA,Current Account,Current balance,-10325,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,FNVQ,SA,Current Account,Capital balance,-611,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,BOKI,SA,Current Account,Trade in goods,-24594,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,IKBD,SA,Current Account,Trade in services,15871,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,IKBJ,SA,Current Account,Total trade,-8723,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-208,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,HBOM,SA,Current Account,"Primary income,Investment income",-3924,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,MT5X,SA,Current Account,"Primary income,Other primary income",107,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,HBOJ,SA,Current Account,"Primary income,Total",-4025,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,FNSV,SA,Current Account,"Secondary income,General government",-2799,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,FNTC,SA,Current Account,"Secondary income,Other sectors",-308,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,IKBP,SA,Current Account,"Secondary income,Total",-3107,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,HBOP,SA,Current Account,Current balance,-15855,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,FNVQ,SA,Current Account,Capital balance,28,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,BOKI,SA,Current Account,Trade in goods,-23457,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,IKBD,SA,Current Account,Trade in services,15293,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,IKBJ,SA,Current Account,Total trade,-8164,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-188,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,HBOM,SA,Current Account,"Primary income,Investment income",-1260,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,MT5X,SA,Current Account,"Primary income,Other primary income",108,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,HBOJ,SA,Current Account,"Primary income,Total",-1340,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,FNSV,SA,Current Account,"Secondary income,General government",-4013,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,FNTC,SA,Current Account,"Secondary income,Other sectors",-251,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,IKBP,SA,Current Account,"Secondary income,Total",-4264,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,HBOP,SA,Current Account,Current balance,-13768,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,FNVQ,SA,Current Account,Capital balance,497,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,BOKI,SA,Current Account,Trade in goods,-23769,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,IKBD,SA,Current Account,Trade in services,13082,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,IKBJ,SA,Current Account,Total trade,-10687,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-135,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,HBOM,SA,Current Account,"Primary income,Investment income",866,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,MT5X,SA,Current Account,"Primary income,Other primary income",81,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,HBOJ,SA,Current Account,"Primary income,Total",812,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,FNSV,SA,Current Account,"Secondary income,General government",-3438,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,FNTC,SA,Current Account,"Secondary income,Other sectors",-566,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,IKBP,SA,Current Account,"Secondary income,Total",-4004,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,HBOP,SA,Current Account,Current balance,-13879,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,FNVQ,SA,Current Account,Capital balance,260,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,BOKI,SA,Current Account,Trade in goods,-24824,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,IKBD,SA,Current Account,Trade in services,14891,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,IKBJ,SA,Current Account,Total trade,-9933,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-199,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,HBOM,SA,Current Account,"Primary income,Investment income",-2963,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,MT5X,SA,Current Account,"Primary income,Other primary income",82,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,HBOJ,SA,Current Account,"Primary income,Total",-3080,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,FNSV,SA,Current Account,"Secondary income,General government",-2990,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,FNTC,SA,Current Account,"Secondary income,Other sectors",-648,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,IKBP,SA,Current Account,"Secondary income,Total",-3638,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,HBOP,SA,Current Account,Current balance,-16651,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,FNVQ,SA,Current Account,Capital balance,-32,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,BOKI,SA,Current Account,Trade in goods,-23556,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,IKBD,SA,Current Account,Trade in services,16038,gbp-million,summary-of-balance-of-payments
