Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
year/1997,BOKG,SA,Credits,Exports of goods,169810,gbp-million,current-account
year/1997,IKBB,SA,Credits,Exports of services,73097,gbp-million,current-account
year/1997,IKBH,SA,Credits,Total exports,242907,gbp-million,current-account
year/1997,IJAH,SA,Credits,Primary income Compensation of employees,1007,gbp-million,current-account
year/1997,HBOK,SA,Credits,Primary income Investment income,96587,gbp-million,current-account
year/1997,MT5T,SA,Credits,Primary income Other primary income,3067,gbp-million,current-account
year/1997,HBOH,SA,Credits,Primary income Total,100661,gbp-million,current-account
year/1997,FHDM,SA,Credits,Secondary income Central government,660,gbp-million,current-account
year/1997,FHIB,SA,Credits,Secondary income Other sectors,8534,gbp-million,current-account
year/1997,IKBN,SA,Credits,Secondary income Total,9194,gbp-million,current-account
year/1997,HBON,SA,Credits,Total credits,352762,gbp-million,current-account
year/1998,BOKG,SA,Credits,Exports of goods,163988,gbp-million,current-account
year/1998,IKBB,SA,Credits,Exports of services,76714,gbp-million,current-account
year/1998,IKBH,SA,Credits,Total exports,240702,gbp-million,current-account
year/1998,IJAH,SA,Credits,Primary income Compensation of employees,840,gbp-million,current-account
year/1998,HBOK,SA,Credits,Primary income Investment income,105879,gbp-million,current-account
year/1998,MT5T,SA,Credits,Primary income Other primary income,2936,gbp-million,current-account
year/1998,HBOH,SA,Credits,Primary income Total,109655,gbp-million,current-account
year/1998,FHDM,SA,Credits,Secondary income Central government,390,gbp-million,current-account
year/1998,FHIB,SA,Credits,Secondary income Other sectors,8489,gbp-million,current-account
year/1998,IKBN,SA,Credits,Secondary income Total,8879,gbp-million,current-account
year/1998,HBON,SA,Credits,Total credits,359236,gbp-million,current-account
year/1999,BOKG,SA,Credits,Exports of goods,166590,gbp-million,current-account
year/1999,IKBB,SA,Credits,Exports of services,82871,gbp-million,current-account
year/1999,IKBH,SA,Credits,Total exports,249461,gbp-million,current-account
year/1999,IJAH,SA,Credits,Primary income Compensation of employees,960,gbp-million,current-account
year/1999,HBOK,SA,Credits,Primary income Investment income,103333,gbp-million,current-account
year/1999,MT5T,SA,Credits,Primary income Other primary income,2779,gbp-million,current-account
year/1999,HBOH,SA,Credits,Primary income Total,107072,gbp-million,current-account
year/1999,FHDM,SA,Credits,Secondary income Central government,371,gbp-million,current-account
year/1999,FHIB,SA,Credits,Secondary income Other sectors,6253,gbp-million,current-account
year/1999,IKBN,SA,Credits,Secondary income Total,6624,gbp-million,current-account
year/1999,HBON,SA,Credits,Total credits,363157,gbp-million,current-account
year/2000,BOKG,SA,Credits,Exports of goods,187206,gbp-million,current-account
year/2000,IKBB,SA,Credits,Exports of services,90171,gbp-million,current-account
year/2000,IKBH,SA,Credits,Total exports,277377,gbp-million,current-account
year/2000,IJAH,SA,Credits,Primary income Compensation of employees,1032,gbp-million,current-account
year/2000,HBOK,SA,Credits,Primary income Investment income,134411,gbp-million,current-account
year/2000,MT5T,SA,Credits,Primary income Other primary income,2570,gbp-million,current-account
year/2000,HBOH,SA,Credits,Primary income Total,138013,gbp-million,current-account
year/2000,FHDM,SA,Credits,Secondary income Central government,381,gbp-million,current-account
year/2000,FHIB,SA,Credits,Secondary income Other sectors,6407,gbp-million,current-account
year/2000,IKBN,SA,Credits,Secondary income Total,6788,gbp-million,current-account
year/2000,HBON,SA,Credits,Total credits,422178,gbp-million,current-account
year/2001,BOKG,SA,Credits,Exports of goods,191075,gbp-million,current-account
year/2001,IKBB,SA,Credits,Exports of services,97742,gbp-million,current-account
year/2001,IKBH,SA,Credits,Total exports,288817,gbp-million,current-account
year/2001,IJAH,SA,Credits,Primary income Compensation of employees,1087,gbp-million,current-account
year/2001,HBOK,SA,Credits,Primary income Investment income,139891,gbp-million,current-account
year/2001,MT5T,SA,Credits,Primary income Other primary income,2676,gbp-million,current-account
year/2001,HBOH,SA,Credits,Primary income Total,143654,gbp-million,current-account
year/2001,FHDM,SA,Credits,Secondary income Central government,431,gbp-million,current-account
year/2001,FHIB,SA,Credits,Secondary income Other sectors,6221,gbp-million,current-account
year/2001,IKBN,SA,Credits,Secondary income Total,6652,gbp-million,current-account
year/2001,HBON,SA,Credits,Total credits,439123,gbp-million,current-account
year/2002,BOKG,SA,Credits,Exports of goods,187847,gbp-million,current-account
year/2002,IKBB,SA,Credits,Exports of services,101337,gbp-million,current-account
year/2002,IKBH,SA,Credits,Total exports,289184,gbp-million,current-account
year/2002,IJAH,SA,Credits,Primary income Compensation of employees,1121,gbp-million,current-account
year/2002,HBOK,SA,Credits,Primary income Investment income,124249,gbp-million,current-account
year/2002,MT5T,SA,Credits,Primary income Other primary income,2912,gbp-million,current-account
year/2002,HBOH,SA,Credits,Primary income Total,128282,gbp-million,current-account
year/2002,FHDM,SA,Credits,Secondary income Central government,564,gbp-million,current-account
year/2002,FHIB,SA,Credits,Secondary income Other sectors,7927,gbp-million,current-account
year/2002,IKBN,SA,Credits,Secondary income Total,8491,gbp-million,current-account
year/2002,HBON,SA,Credits,Total credits,425957,gbp-million,current-account
year/2003,BOKG,SA,Credits,Exports of goods,188450,gbp-million,current-account
year/2003,IKBB,SA,Credits,Exports of services,113056,gbp-million,current-account
year/2003,IKBH,SA,Credits,Total exports,301506,gbp-million,current-account
year/2003,IJAH,SA,Credits,Primary income Compensation of employees,1116,gbp-million,current-account
year/2003,HBOK,SA,Credits,Primary income Investment income,124799,gbp-million,current-account
year/2003,MT5T,SA,Credits,Primary income Other primary income,3226,gbp-million,current-account
year/2003,HBOH,SA,Credits,Primary income Total,129141,gbp-million,current-account
year/2003,FHDM,SA,Credits,Secondary income Central government,408,gbp-million,current-account
year/2003,FHIB,SA,Credits,Secondary income Other sectors,8433,gbp-million,current-account
year/2003,IKBN,SA,Credits,Secondary income Total,8841,gbp-million,current-account
year/2003,HBON,SA,Credits,Total credits,439488,gbp-million,current-account
year/2004,BOKG,SA,Credits,Exports of goods,191781,gbp-million,current-account
year/2004,IKBB,SA,Credits,Exports of services,123357,gbp-million,current-account
year/2004,IKBH,SA,Credits,Total exports,315138,gbp-million,current-account
year/2004,IJAH,SA,Credits,Primary income Compensation of employees,931,gbp-million,current-account
year/2004,HBOK,SA,Credits,Primary income Investment income,140711,gbp-million,current-account
year/2004,MT5T,SA,Credits,Primary income Other primary income,3448,gbp-million,current-account
year/2004,HBOH,SA,Credits,Primary income Total,145090,gbp-million,current-account
