Label,URI,Parent URI,Sort Priority,Description,Local Notation
Bedfordshire and Hertfordshire,http://data.europa.eu/nuts/code/UKH2,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,33,,
Essex,http://data.europa.eu/nuts/code/UKH3,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,34,,
Inner London - West,http://data.europa.eu/nuts/code/UKI3,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,35,,
Inner London - East,http://data.europa.eu/nuts/code/UKI4,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,36,,
Outer London - East and North East,http://data.europa.eu/nuts/code/UKI5,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,37,,
Outer London - South,http://data.europa.eu/nuts/code/UKI6,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,38,,
Outer London - West and North West,http://data.europa.eu/nuts/code/UKI7,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,39,,
"Berkshire, Buckinghamshire and Oxfordshire",http://data.europa.eu/nuts/code/UKJ1,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,40,,
"Surrey, East and West Sussex",http://data.europa.eu/nuts/code/UKJ2,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,41,,
Hampshire and Isle of Wight,http://data.europa.eu/nuts/code/UKJ3,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,42,,
