TrueSitcNotation,Label,Notation,Parent Notation,Sort Priority
431.21,Animal fats and oils (including fractions) of heading 431.20,43121,43100,1044
431.22,Vegetable fats and oils (including fractions) of heading 431.20,43122,43100,1045
431.3,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,43130,43100,1046
431.31,Fatty acids; acid oils from refining,43131,43100,1047
431.33,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,43133,43100,1048
431.4,"Vegetable waxes (o/t triglycerides), beeswax, other insect waxes & spermaceti, w or not refined/coloured",43140,43100,1049
431.41,Vegetable waxes (other than triglycerides) whether or not refined or coloured,43141,43100,1050
431.42,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",43142,43100,1051
511,"Hydrocarbons nes & their halogenated, sulphonated, nitrated or nitrosated derivatives",51100,51,1052
511.1,Acyclic hydrocarbons,51110,51100,1053
511.11,Ethylene,51111,51100,1054
511.12,Propene (propylene),51112,51100,1055
511.13,"Butylenes, butadienes and methylbutadienes",51113,51100,1056
511.14,Saturated acyclic hydrocarbons,51114,51100,1057
511.19,"Acyclic hydrocarbons, nes",51119,51100,1058
511.2,Cyclic hydrocarbons,51120,51100,1059
511.21,Cyclohexane,51121,51100,1060
511.22,"Benzene, pure",51122,51100,1061
511.23,"Toluene, pure",51123,51100,1062
511.24,"Xylenes, pure",51124,51100,1063
511.25,Styrene,51125,51100,1064
511.26,Ethylbenzene,51126,51100,1065
511.27,Cumene,51127,51100,1066
511.29,"Cyclic hydrocarbons, nes",51129,51100,1067
511.3,Halogenated derivatives of hydrocarbons,51130,51100,1068
511.31,Vinyl chloride (chloroethylene),51131,51100,1069
511.32,Trichloroethylene,51132,51100,1070
511.33,Tetrachloroethylene (perchloroethylene),51133,51100,1071
511.34,Other unsaturated chlorinated derivatives of acyclic hydrocarbons,51134,51100,1072
511.35,"1,2-dichloroethane (ethylene dichloride)",51135,51100,1073
511.36,Other saturated chlorinated derivatives of acyclic hydrocarbons,51136,51100,1074
511.37,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons",51137,51100,1075
511.38,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens,51138,51100,1076
511.39,"Halogenated derivatives of hydrocarbons, nes",51139,51100,1077
511.4,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated",51140,51100,1078
512,"Alcohols, phenols, phenol-alcohols, & halogenated etc derivatives",51200,51,1079
512.1,Acyclic monohydric alcohols,51210,51200,1080
512.11,Methanol (methyl alcohol),51211,51200,1081
512.12,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),51212,51200,1082
512.13,Butanols,51213,51200,1083
512.14,Octanol (octyl alcohol) and isomers thereof,51214,51200,1084
512.15,Undenatured ethyl alcohol of an alcoholic strentgh by volume of 80% or higher,51215,51200,1085
512.16,"Ethyl alcohol and other spirits, denatured, of any strength",51216,51200,1086
512.17,"Fatty alcohols, industrial",51217,51200,1087
512.18,Industrial monocarboxylic fatty acids; acid oils from refining,51218,51200,1088
512.19,Other monohydric alcohols,51219,51200,1089
512.2,"Other acyclic alcohols, and the halogenated, sulphonated, nitrated or nitrosated dvt of acyclic alcohols",51220,51200,1090
512.21,Ethylene glycol (ethanediol),51221,51200,1091
512.22,"Glycerol (glycerine), glycerol waters and glycerol lyes",51222,51200,1092
512.23,Pentaerythritol,51223,51200,1093
512.24,Mannitol,51224,51200,1094
512.25,D-glucitol (sorbitol),51225,51200,1095
512.29,Other acyclic alcohols,51229,51200,1096
512.3,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",51230,51200,1097
512.31,"Cyclanic, cyclenic, or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or nitrosated dvt",51231,51200,1098
512.35,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",51235,51200,1099
512.4,"Phenols & phenol-alcohols, & their halogenated, sulphonated, nitrated or nitrosated derivates",51240,51200,1100
512.41,"Phenol (hydroxybenzene), pure, and its salts",51241,51200,1101
512.42,"Cresols, nes, and their salts",51242,51200,1102
512.43,Other phenols and pheno-alcohols,51243,51200,1103
512.44,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenol/phenol-alcohols",51244,51200,1104
513,"Carboxylic acids and their halogenated, sulphonated, nitrated or nitrosated derivatives",51300,51,1105
513.7,Monocarboxylic acids and derivatives thereof,51370,51300,1106
513.71,Acetic acid and its salts,51371,51300,1107
513.72,Esters of acetic acid,51372,51300,1108
513.73,Methacrylic acid and its salts and esters,51373,51300,1109
513.74,"Formic acid, its salts and esters",51374,51300,1110
513.75,"Butyric acids, valeric acids, their salts and esters",51375,51300,1111
513.76,"Palmitic acid, stearic acid, their salts and esters",51376,51300,1112
513.77,Saturated acyclic monocarboxylic acids nes & their derivatives,51377,51300,1113
513.78,"Oleic, linoleic or linolenic acids, their salts and esters",51378,51300,1114
513.79,"Other unsaturated acyclic monocarboxylic acids; cyclic monocarboxylic acids, and their derivatives",51379,51300,1115
513.8,Polycarboxylic acids and derivatives thereof,51380,51300,1116
513.81,Maleic anhydride,51381,51300,1117
513.82,Phthalic anhydride,51382,51300,1118
513.83,Dioctyl orthophthalates,51383,51300,1119
513.84,Dimethyl terephthalate,51384,51300,1120
513.85,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, and derivatives",51385,51300,1121
513.89,"Polycarboxylic acids nes, and their halogenated, sulphonated, nitrated or nitrosated derivatives",51389,51300,1122
513.9,"Carboxylic acids with additional oxygen function, and their derivatives",51390,51300,1123
513.91,"Lactic acid, tartaric acid, citric acid and their salts and esters",51391,51300,1124
513.92,Carboxylic acids nes with alcohol function;halides anhydrides; dvt with alcohol but w/o oxygen function,51392,51300,1125
513.93,Salicylic acid and its salts and esters,51393,51300,1126
513.94,Other carboxylic acids and their derivatives with phenol function but without other oxygen function,51394,51300,1127
513.95,"Carboxylic acids with aldehyde or ketone function but w/o other oxygen function, & derivatives thereof",51395,51300,1128
513.96,"Carboxylic acids with additional oxygen functions, their anhydrides, halides, peroxides and their derivatives",51396,51300,1129
514,Nitrogen-function compounds,51400,51,1130
514.5,Amine-function compounds,51450,51400,1131
514.51,Acyclic monoamines and their derivatives; salts thereof,51451,51400,1132
514.52,Acyclic polyamines and their derivatives; salts thereof,51452,51400,1133
514.53,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",51453,51400,1134
514.54,Aromatic monoamides and their derivatives; salts thereof,51454,51400,1135
514.55,Aromatic polyamines and their derivatives; salts thereof,51455,51400,1136
514.6,Oxygen-function amino-compounds,51460,51400,1137
514.61,"Amino-alcohols, their ethers and esters (o/t those ctg more than one kind of oxygen-function); salts thereof",51461,51400,1138
514.62,"Amino-naphthols & amino-phenols, their ethers & esters(o/t those ctg > one oxygen-function);salts thereof",51462,51400,1139
514.63,"Amino-aldehydes,-ketones &-quinones (o/t those ctg more than one kind of oxygen function); salts thereof",51463,51400,1140
514.64,Lysine and its esters; salts thereof; glutamic acid and its salts,51464,51400,1141
514.65,"Amino-acids and their esters (o/t those ctg m/t one kind of oxygen function), nes; salts thereof",51465,51400,1142
514.67,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",51467,51400,1143
514.7,Carboxyamide-function compounds; amide-function compounds of carbonic acid (excluding urea),51470,51400,1144
514.71,Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof,51471,51400,1145
514.73,Ureines and their derivatives; salts thereof,51473,51400,1146
514.79,"Cyclic amides, nes, (inc cyclic carbamates) and their derivatives; salts thereof",51479,51400,1147
514.8,"Nitrogen function compounds, nes",51480,51400,1148
514.81,Quaternary ammonium salts and hydroxides; lecithins and others phosphoaminolipids,51481,51400,1149
514.82,Carboxyimide-function compounds (including saccharin and its salts) and amine-function compounds,51482,51400,1150
514.83,Acrylonitrile,51483,51400,1151
514.84,Other nitrile-function compounds,51484,51400,1152
514.85,"Diazo-, azo-, and azoxy-compounds",51485,51400,1153
514.86,Organic derivatives of hydrazine or of hydroxylamine,51486,51400,1154
514.89,Compounds with other nitrogen function,51489,51400,1155
515,"Organo-inorganic compounds, heterocyclic compounds,nucleic acids and their salts and sulphonamides",51500,51,1156
515.4,Organo-sulphur compounds,51540,51500,1157
515.41,Dithiocarbonates (xanthates),51541,51500,1158
515.42,Thiocarbamates and dithiocarbamates,51542,51500,1159
515.43,"Thiuram mono-, di- or tetrasulphides",51543,51500,1160
515.44,Methionine,51544,51500,1161
515.49,"Organo-sulphur compounds, nes",51549,51500,1162
515.5,Other organo-inorganic compounds,51550,51500,1163
515.6,Lactams; heterocyclic compounds with oxygen hetero-atom(s) only,51560,51500,1164
515.61,Lactams,51561,51500,1165
515.62,"Coumarin, methylcoumarins and ethylcoumarins",51562,51500,1166
515.63,Other lactones,51563,51500,1167
515.69,"Heterocyclic compounds with oxygen hetero-atom(s) only, nes",51569,51500,1168
515.7,Other heterocyclic compounds; nucleic acids,51570,51500,1169
515.71,"Heterocyclic cmpd, with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring in the structure",51571,51500,1170
515.72,Hydantoin and its derivatives,51572,51500,1171
515.73,Other heterocyclic compounds containing an unfused imidazole ring(whether or not hydrogenated)in the structure,51573,51500,1172
515.74,"Heterocyclic cmpd with nitrogen hetero-atom(s)only ctg unfused pyridine ring, whether or not hydrogenated",51574,51500,1173
515.75,"Heterocyclic cmpd, with nitrogen hetero-atom(s) only, containing a quinoline or isoquinoline ring-system",51575,51500,1174
515.76,"Heterocyclic cmpd with nitrogen hetero-atom(s) only, ctg pyrimidine/piperazine/triazine ring; nucleic acid",51576,51500,1175
515.77,Other heterocyclic compounds with nitrogen hetro-atom(s) only,51577,51500,1176
515.78,"Heterocyclic compounds ctg a phenothiazine ring- system (whether or not hydrogenated), not further fused",51578,51500,1177
515.79,"Heterocyclic compounds, nes",51579,51500,1178
515.8,Sulphonamides,51580,51500,1179
516,Other organic chemicals,51600,51,1180
516.1,"Ethers, alcohol & ether peroxides, epoxides, acetals, hemiacetals and derivatives thereof",51610,51600,1181
516.12,"Acetals and hemiacetals, whether or not with other oxygen-function, and derivatives thereof",51612,51600,1182
516.13,Oxirane (ethylene oxide),51613,51600,1183
516.14,Methyloxirane (propylene oxide),51614,51600,1184
516.15,"Epoxides, epoxyalcohols, epoxyphenols, epoxyethers nes, with three-member ring; derivatives thererof",51615,51600,1185
516.16,"Acyclic, cyclanic, cyclenic, cycloterpenic and aromatic ethers, and their derivatives",51616,51600,1186
516.17,"Ether-alcohols/phenols/alcohol-phenols; alcohol, ether, ketone peroxides; and their derivatives",51617,51600,1187
516.2,"Aldehyde-, ketone- and quinone-function compounds",51620,51600,1188
516.21,Acyclic aldehydes without other oxygen function,51621,51600,1189
516.22,"Other aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",51622,51600,1190
516.23,Acetone,51623,51600,1191
516.24,Butanone (ethyl methyl ketone),51624,51600,1192
516.25,"Acyclic ketones without oxygen function, nes",51625,51600,1193
516.26,"Halogenated, sulphonated, nitrated or nitrosated derivatives of the products of headings 516.21 and 516.22",51626,51600,1194
516.27,Camphor,51627,51600,1195
516.28,"Cyclanic, cyclenic or cycloterpenic ketones without oxygen function, nes",51628,51600,1196
516.29,"Aldehyde-, ketone- and quinone-function compounds of hdg 516.20, nes",51629,51600,1197
516.3,"Esters of inorganic acids and their salts, and their halogenated, sulphonated, nitrated or nitrosated dvt",51630,51600,1198
516.31,"Phosphoric esters and their salts; their halogenated, sulphonated, nitrosated or nitrosated dvt",51631,51600,1199
516.39,"Esters of other inorganic acids (exc esters of hydrogen halides) & their salts, & derivatives thereof",51639,51600,1200
516.9,"Organic chemicals, nes",51690,51600,1201
516.91,"Enzymes; prepared enzymes, nes",51691,51600,1202
516.92,"Sugars, pure (o/t sucrose etc); sugar ethers and esters, & their salts (o/t hdgs 541.40, 541.50 or 541.61)",51692,51600,1203
516.99,"Organic compounds, nes",51699,51600,1204
522,"Inorganic chemical elements, oxides and halogen salts",52200,52,1205
522.1,"Carbon (including carbon black), nes",52210,52200,1206
522.2,"Chemical elements, nes",52220,52200,1207
522.21,"Hydrogen, rare gases, nitrogen and oxygen",52221,52200,1208
522.22,"Selenium, tellurium, phosphorus, arsenic and boron",52222,52200,1209
522.23,Silicon,52223,52200,1210
522.24,Chlorine,52224,52200,1211
522.25,"Fluorine, bromine and iodine",52225,52200,1212
522.26,"Sulphur, sublimed or precipitated; colloidal sulphur",52226,52200,1213
522.27,Mercury,52227,52200,1214
522.28,Sodium and other alkali metals,52228,52200,1215
522.29,"Calcium, strontium & barium; rare earth metals, scandium & yttrium",52229,52200,1216
522.3,Inorganic acids and inorganic oxygen compounds of non-metals,52230,52200,1217
522.31,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid,52231,52200,1218
522.32,Sulphuric acid; oleum,52232,52200,1219
522.33,Nitric acid; sulphonitric acids,52233,52200,1220
522.34,Diphosphorus pentoxide; phosphoric acid and polyphosphoric acids,52234,52200,1221
522.35,Oxides of boron; boric acids,52235,52200,1222
522.36,"Inorganic acids, nes",52236,52200,1223
522.37,Silicon dioxide,52237,52200,1224
522.38,Sulphur dioxide,52238,52200,1225
522.39,"Inorganic oxygen compounds of non-metals, nes",52239,52200,1226
522.4,Halogen or sulphur compounds of non-metals,52240,52200,1227
522.41,Halides and halide oxides of non-metals,52241,52200,1228
522.42,Sulphides of non-metals; commercial phosphorus trisulphide,52242,52200,1229
522.5,"Oxides of zinc, chromium, manganese, iron, cobalt, titanium and lead",52250,52200,1230
522.51,Zinc oxide; zinc peroxide,52251,52200,1231
522.52,Chromium oxides and hydroxides,52252,52200,1232
522.53,Manganese oxides,52253,52200,1233
522.54,Iron oxides and hydroxides; earth colours ctg 70% or more by weight of combined iron evaluated as fe203,52254,52200,1234
522.55,Cobalt oxides and hydroxides; commercial cobalt oxides,52255,52200,1235
522.56,Titanium oxides,52256,52200,1236
522.57,Lead oxides; red lead and orange lead,52257,52200,1237
522.6,"Inorganic bases and metallic oxides, hydroxides and peroxides, nes",52260,52200,1238
522.61,"Ammonia, anhydrous or in an aqueous solution",52261,52200,1239
522.62,"Sodium hydroxide (caustic soda), solid",52262,52200,1240
522.63,Sodium hydroxide in aqueous solution (soda lye or liquid soda),52263,52200,1241
522.64,Potassium hydroxide (caustic potash); peroxides of sodium or potassium,52264,52200,1242
522.65,"Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium",52265,52200,1243
522.66,Aluminium hydroxide,52266,52200,1244
522.67,"Artificial corundum,whether or not chemically defined",52267,52200,1245
522.68,Hydrazine and hydroxylamine and their inorganic salts,52268,52200,1246
522.69,"Other inorganic bases; other metal oxides, hydroxides and peroxides",52269,52200,1247
523,"Metallic salts and peroxysalts, of inorganic acids",52300,52,1248
523.1,"Fluorides; fluorosilicates, fluoroaluminates and other complex flourine salts",52310,52300,1249
523.2,"Chlorides, chloride oxides & chloride hydroxides; bromides & iodides & their oxides",52320,52300,1250
523.21,Ammonium chloride,52321,52300,1251
523.22,Calcium chloride,52322,52300,1252
523.29,"Other chlorides, chloride oxides and hydroxides; bromides and bromide oxides; iodides and iodide oxides",52329,52300,1253
523.3,Hypochlorites; chlorites; hypobromites;chlorites & perchlorates; bromates & perbromates; iodates & periodates,52330,52300,1254
523.31,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,52331,52300,1255
523.32,Chlorates of sodium,52332,52300,1256
523.39,Other chlorates and perchlorates; bromates and perbromates; iodates and periodates,52339,52300,1257
523.4,"Sulphides, polysulphides, dithionites, sulphites, sulphoxylates,  thiosulphates, sulphates and alums",52340,52300,1258
523.41,Sodium sulphide,52341,52300,1259
523.42,"Sulphides, nes; polysulphides",52342,52300,1260
523.43,Dithionites and sulphoxylates,52343,52300,1261
523.44,Sulphites; thiosulphates,52344,52300,1262
523.45,Sodium sulphates,52345,52300,1263
523.49,Other sulphates; alums,52349,52300,1264
523.5,Nitrites; nitrates,52350,52300,1265
523.51,Nitrites,52351,52300,1266
523.52,Potassium nitrate,52352,52300,1267
523.59,Other nitrates,52359,52300,1268
523.6,"Phosphinates (hypophosphites), phosphonates (phosphites), phosphates & polyphosphates",52360,52300,1269
523.61,Phosphinates (hypophosphites) and phosphonates (phosphites),52361,52300,1270
523.62,Triammonium phosphate,52362,52300,1271
523.63,"Phosphates, nes",52363,52300,1272
523.64,Sodium triphosphate (sodiumtripolyphosphate),52364,52300,1273
523.65,Other polyphosphates,52365,52300,1274
523.7,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate,52370,52300,1275
523.71,Commercial ammonium carbonate and other ammonium carbonates,52371,52300,1276
523.72,Neutral sodium carbonate (disodium carbonate),52372,52300,1277
523.73,Sodium hydrogencarbonate (sodium bicarbonate),52373,52300,1278
523.74,Potassium carbonates,52374,52300,1279
523.75,Lead carbonate,52375,52300,1280
523.79,Carbonates nes; peroxocarbonates (percarbonates),52379,52300,1281
523.8,"Metallic salts and peroxysalts of inorganic acids, nes",52380,52300,1282
523.81,"Cyanides, cyanide oxides and complex cyanides",52381,52300,1283
523.82,"Fulminates, cyanates and thiocyanates",52382,52300,1284
523.83,Silicates; commercial alkali metal silicates,52383,52300,1285
523.84,Borates; peroxoborates (perborates),52384,52300,1286
523.89,Salts of inorganic acids or peroxoacids(excluding azides) nes,52389,52300,1287
524,"Inorganic chemicals, nes; organic and inorganic compounds of precious metals",52400,52,1288
524.3,Salts of metallic acids; organic and inorganic compounds of precious metals,52430,52400,1289
524.31,Salts of oxometallic or peroxometallic acids,52431,52400,1290
524.32,"Colloidal precious metals; compounds, inorganic or organic, of precious metals;amalgams of precious metals",52432,52400,1291
524.9,"Inorganic chemical products, nes",52490,52400,1292
524.91,"Hydrogen peroxide, whether or not solidified with urea",52491,52400,1293
524.92,"Phosphides, whether or not chemically defined (excluding ferrosphorus)",52492,52400,1294
524.93,"Calcium carbide, whether or not chemically defined",52493,52400,1295
524.94,"Carbides (other than calcium carbide), whether or not chemically defined",52494,52400,1296
524.95,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined",52495,52400,1297
524.96,"Compounds, inorganic or organic, of mercury, excluding amalgams",52496,52400,1298
524.99,"Inorganic cmpd, nes (inc water distilled or of sim purity);liquid air;compressed air;amalgams(o/t prec metals)",52499,52400,1299
525,Radio-active and associated materials,52500,52,1300
525.1,Radio-active chemical elements & isotapes & their compounds; mixtures & residues containing these products,52510,52500,1301
525.11,Natural uranium & its cmpds; alloys & dispersions ceramic pdt & mixtures ctg natural uranium or its compounds,52511,52500,1302
525.13,"Uranium enriched in u235,plutonium & their cmpds; ceramic pdt & mixtures ctg these pdt or their compounds",52513,52500,1303
525.15,"Uranium depleted in u235, thorium & their cmpds; ceramic pdt & mixtures ctg these pdt or their compounds",52515,52500,1304
525.17,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,52517,52500,1305
525.19,"Radio-active elements, isotopes & compounds nes; ceramic pdt & mixtures ctg these pdt; radio active residues",52519,52500,1306
525.9,"Stable isotopes & their cmpd; cmpd of rare-earth metals, yttrium, scandium or of mixtures of these metals",52590,52500,1307
525.91,"Isotopes(o/t of hdg 525.10);compounds, inorganic or organic, of such isotopes, whether or not chem defined",52591,52500,1308
525.95,"Compounds, inorganic or organic, of rare-earth metals, of yttrium, scandium or mixtures of these metals",52595,52500,1309
531,"Synthetic organic colouring matter and colour lakes, and preparations based thereon",53100,53,1310
531.1,Synthetic organic colouring matter and preparations based thereon,53110,53100,1311
531.11,Disperse dyes and preparations based thereon,53111,53100,1312
531.12,"Acid dyes, whether or not premetallized, and prp based thereon; mordant dyes and prp based thereon",53112,53100,1313
531.13,Basic dyes and preparations based thereon,53113,53100,1314
531.14,Direct dyes and preparations based thereon,53114,53100,1315
531.15,Vat dyes (inc those usable in that state as pigments) and preparations based thereon,53115,53100,1316
531.16,Reactive dyes and preparations based thereon,53116,53100,1317
531.17,Pigments and preparations based thereon,53117,53100,1318
531.19,"Other synthetic organic colouring matter, inc mixtures",53119,53100,1319
531.2,Syn organic pdt used as flourescent brightening agents or luminophores; colour lakes & prp based thereon,53120,53100,1320
531.21,"Syn organic pdt used as fluorescent brightening agents or as luminophores, whether or not chem defined",53121,53100,1321
531.22,Colour lakes; preparations based on colour lakes,53122,53100,1322
532,"Dyeing and tanning extracts, and synthetic tanning materials",53200,53,1323
532.2,Tanning ext of veg origin; tannings and their dvt; colouring matter of veg or animal origin &prp based thereon,53220,53200,1324
532.21,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives",53221,53200,1325
532.22,Colouring matter of vegetable or animal origin; prp based on colouring matter of vegetable or animal origin,53222,53200,1326
532.3,Synthetic organic tanning subs; inorganic tanning subs; tanning preparations; enzymatic preps for pre-tanning,53230,53200,1327
532.31,Synthetic organic tanning substances,53231,53200,1328
532.32,"Inorganic tanning subs; tanning prp, whether or not ctg natural tanning subs; enzymatic prp for pre-tanning",53232,53200,1329
533,"Pigments, paints, varnishes and related materials",53300,53,1330
533.1,"Other colouring matter; preparations based on colouring matter, nes; inorganic pdt used as luminophores",53310,53300,1331
533.11,Pigments and preparations based on titanium dioxide,53311,53300,1332
533.12,Pigments and preparations based on chromium compounds,53312,53300,1333
533.13,Pigments and preparations based on cadmium compounds,53313,53300,1334
533.14,Ultramarine and preparations based thereon,53314,53300,1335
533.15,Lithopone and other pigments and preparations based on zinc sulphide,53315,53300,1336
533.16,Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides),53316,53300,1337
533.17,"Colouring matter and other preparations based on colouring matter, nes",53317,53300,1338
533.18,Inorganic products of a kind used as luminophores,53318,53300,1339
533.2,Printing ink,53320,53300,1340
533.21,Black printing ink,53321,53300,1341
533.29,Printing ink o/t black,53329,53300,1342
533.4,Paints & varnishes; pigments for finishing leather or for paint mfr; stamping foils; dyes etc for retail sale,53340,53300,1343
533.41,"Paints & varnishes based on syn or chem modified nat polymers, dispersed or dissolved in an aqueous medium",53341,53300,1344
533.42,"Paints & varnishes based on syn or chem modified nat polymers,dispersed or dissolved in a non aqueous medium",53342,53300,1345
533.43,"Other paints & varnishes (inc enamels, lacquers & distempers); prd water pigments used for finishing leather",53343,53300,1346
533.44,"Pigments dispersed in non-aqueous media, liquid or paste, for paint mfr; stamping foils; dyes etc for ret sale",53344,53300,1347
533.5,"Colouring prp used in the ceramic, enamelling and glass industries; artists' colours, paint driers & mastics",53350,53300,1348
533.51,"Prd pigments, opacifiers,colours; enamels & glazes etc for ceramic/glass industry; glass frit etc in pdr/flake",53351,53300,1349
533.52,"Artists',students' or signboard painters' colours, amusement colours etc, in tablets, tubes, jars or sim forms",53352,53300,1350
533.53,Prepared paint driers,53353,53300,1351
533.54,"Glaziers' & grafting putty;resin cements, caulking cmpd etc; painters' fillings; non-refractory surfacing prp",53354,53300,1352
533.55,"Organic composite solvents and thinners, nes; prepared paint or varnish removers",53355,53300,1353
541,"Medicinal and pharmaceutical products, other than medicaments of group 542",54100,54,1354
541.1,"Provitamins & vitamins & derivatives thereof, not put up as medicaments of heading 542.00",54110,54100,1355
541.11,"Provitamins, unmixed",54111,54100,1356
541.12,"Vitamins a and their derivatives, unmixed",54112,54100,1357
541.13,"Vitamins b and their derivatives, unmixed, not put up as medicaments of group 542",54113,54100,1358
541.14,"Vitamin c and its derivatives, unmixed",54114,54100,1359
541.15,"Vitamin e and its derivatives, unmixed",54115,54100,1360
541.16,"Vitamins (other than vitamins a, b, c, d and e) and their derivatives, unmixed",54116,54100,1361
541.17,"Intermixtures of provitamins and vitamins (inc natural concentrates), whether or not in any solvent",54117,54100,1362
541.3,"Antibiotics, not put up as medicaments of heading 542.00",54130,54100,1363
541.31,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,54131,54100,1364
541.32,Streptomycins and their derivatives; salts thereof,54132,54100,1365
541.33,Tetracyclines and their derivatives; salts thereof,54133,54100,1366
541.39,"Antibiotics, nes",54139,54100,1367
541.4,"Veg alkaloids, nat or repro by syn, & their salts, ethers, esters & other dvt, exc medicaments of group 542",54140,54100,1368
541.41,Alkaloids of opium and their derivatives; salts thereof,54141,54100,1369
541.42,Alkaloids of cinchona and their derivatives; salts thereof,54142,54100,1370
541.43,Caffeine and its salts,54143,54100,1371
541.44,Ephedrines and their salts,54144,54100,1372
541.45,Theophylline and aminophylline (theophylline- ethylenediamine) and their derivatives; salts thereof,54145,54100,1373
541.46,Alkaloids of rye ergot and their derivatives; salts thereof,54146,54100,1374
541.47,Nicotine and its salts,54147,54100,1375
541.49,"Vegetable alkaloids and their salts, nes; derivatives of alkaloids, nes, and their salts",54149,54100,1376
541.5,"Hormones, natural or sythetic; dvt thereof used as hormones; other steroids, not put up as goods of group 524",54150,54100,1377
541.51,Insulin and its salts,54151,54100,1378
541.52,"Pituitary (anterior) or similar hormones, and their derivatives.",54152,54100,1379
541.53,"Steroidal hormones, their derivatives and structural analogues",54153,54100,1380
541.54,"Polypeptide, protein and glycoprotein hormones, their derivatives and structural analogues",54154,54100,1381
541.55,"Catecholamine hormones, their derivatives and structural analogues",54155,54100,1382
541.56,"Prostaglandins, thromboxanes & leukotrienes, their derivatives and structural analogues",54156,54100,1383
541.59,"Other hormones & their dvt; other steroids used primarily as hormones, not put up as medicaments of grp 542",54159,54100,1384
541.6,"Glycosides; glands or other organs and their extracts; antisera, vaccines and similar products",54160,54100,1385
541.61,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",54161,54100,1386
541.62,Glands etc for organo-therapeutic uses; extracts thereof; heparin & its salts; other nes,54162,54100,1387
541.63,Antisera and other blood fractions; vaccines,54163,54100,1388
541.64,"Human & animal blood pdt for therapeutic etc uses; toxins, cultures (exc yeast) and similar products",54164,54100,1389
541.9,"Pharmaceutical goods, other than medicaments",54190,54100,1390
541.91,"Wadding, gauze, bandages etc, impregnated/coated or for retail sale for medical/surgical/dental uses; nes",54191,54100,1391
541.92,Blood-grouping reagents,54192,54100,1392
541.93,Opacifying prp for x-ray examinations;diagnostic reagents designed to be administered to the patient,54193,54100,1393
541.99,Other pharmaceutical goods,54199,54100,1394
542,Medicaments (including veterinary medicaments),54200,54,1395
542.1,Medicaments containing antibiotics or derivatives thereof,54210,54200,1396
542.11,Medicaments ctg penicillins or dvt; streptomycins or dvt not in measured doses/forms or for retail sale,54211,54200,1397
542.12,"Medicaments containing other antibiotics, not in measured doses or packages for retail sale",54212,54200,1398
542.13,Medicaments ctg penicillins or dvt; streptomycins or dvt in measured doses/in forms/packings for retail sale,54213,54200,1399
542.19,"Medicaments containing other antibiotics, in measured doses or packages for retail sale",54219,54200,1400
542.2,"Medicaments ctg hormones or other pdt of hdg 541.50, but not ctg antibiotics or derivatives thereof",54220,54200,1401
542.21,"Medicaments containing insulin, not put up in measured doses or in forms or packings for retail sale",54221,54200,1402
542.22,"Medicaments ctg other hormones or other pdt of hdg 541.45, put up in measured doses or pkg for retail sale",54222,54200,1403
542.23,"Medicaments containing insulin, put up in measured doses or in forms or packings for retail sale",54223,54200,1404
542.24,"Medicaments containing adrenal cortex hormones, in measured doses or packages for retail sale",54224,54200,1405
542.29,"Medicaments ctg other hormones or other pdt of hdg 541.50, in measured doses or packages for retail sale",54229,54200,1406
542.3,"Medicaments ctg alkaloids or dvt thereof, but not ctg hormones, other pdt of hdg 541.50, or antibiotics & dvt",54230,54200,1407
542.31,"Medicaments of heading 542.30, not in measured doses or packages for retail sale",54231,54200,1408
542.32,"Medicaments of heading 542.30, in measured doses or packages for retail sale",54232,54200,1409
542.9,"Medicaments, nes",54290,54200,1410
542.91,"Medicaments, nes, not in measured doses or packages for retail sale",54291,54200,1411
