Label,Notation,Parent Notation,Sort Priority,Description
All industries,all,,1,
"Technical, trade-related, operational leasing & other business services",technical,all,2,
"Professional, management consulting & R&D services",professional-r-and-d,all,3,
"Merchanting, Other Trade-related and Services between related enterprises",merchanting,all,4,
Manufacturing,manufacturing,all,5,
Wholesale & Retail,wholesale,all,6,
Information and Communication,information,all,7,
"Professional, Scientific and Technical Support",professional-scientific,all,8,
Administrative and Support Service Activities,administrative,all,9,
"Arts, Entertainment, Recreation and Other Service Activities",art,all,10,
Film Industry,film,all,11,
Television Industry,television,all,12,
