Label,Notation,Parent Notation,Sort Priority,Description
"Business and Professional Services-Advertising, market research and public opinion polling services",business-and-professional-services-advertising-market-research-and-public-opinion-polling-services,,80,
Business and Professional Services-Business management and management consulting services,business-and-professional-services-business-management-and-management-consulting-services,,81,
Business and Professional Services-Public relations services,business-and-professional-services-public-relations-services,,82,
Business and Professional Services-Recruitment services,business-and-professional-services-recruitment-services,,83,
Business and Professional Services-Legal services,business-and-professional-services-legal-services,,84,
Business and Professional Services-Operating leasing services,business-and-professional-services-operating-leasing-services,,85,
Business and Professional Services-Procurement services,business-and-professional-services-procurement-services,,86,
Business and Professional Services-Property management services,business-and-professional-services-property-management-services,,87,
Business and Professional Services-Other business and professional services,business-and-professional-services-other-business-and-professional-services,,88,
Business and Professional Services-Services between related enterprises,business-and-professional-services-services-between-related-enterprises,,89,
Business and Professional Services-Total,business-and-professional-services-total,,90,
Research and Development Services-Provision of R&D services,research-and-development-services-provision-of-r-and-d-services,,91,
Research and Development Services-Provision of product development and testing activities,research-and-development-services-provision-of-product-development-and-testing-activities,,92,
Research and Development Services-Total,research-and-development-services-total,,93,
Intellectual Property-Outright sales and purchases ,intellectual-property-outright-sales-and-purchases,,94,
Intellectual Property-Charges or payments for the use of ,intellectual-property-charges-or-payments-for-the-use-of,,95,
Intellectual Property-Total,intellectual-property-total,,96,
"Telecommunication, Computer and Information Services-Postal and courier",telecommunication-computer-and-information-services-postal-and-courier,,97,
"Telecommunication, Computer and Information Services-Telecommunications",telecommunication-computer-and-information-services-telecommunications,,98,
"Telecommunication, Computer and Information Services-Computer Services",telecommunication-computer-and-information-services-computer-services,,99,
"Telecommunication, Computer and Information Services-Publishing Services",telecommunication-computer-and-information-services-publishing-services,,100,
"Telecommunication, Computer and Information Services-News agency Services",telecommunication-computer-and-information-services-news-agency-services,,101,
"Telecommunication, Computer and Information Services-Information Services",telecommunication-computer-and-information-services-information-services,,102,
"Telecommunication, Computer and Information Services-Total",telecommunication-computer-and-information-services-total,,103,
Construction Services-Construction in the UK,construction-services-construction-in-the-uk,,104,
Construction Services-Construction outside the UK,construction-services-construction-outside-the-uk,,105,
Construction Services-Total,construction-services-total,,106,
Financial Services-Financial,financial-services-financial,,107,
Insurance and Pension Services-Insurance and Pension Services Claims,insurance-and-pension-services-insurance-and-pension-services-claims,,108,
Insurance and Pension Services-Insurance and Pension Services Premiums,insurance-and-pension-services-insurance-and-pension-services-premiums,,109,
Merchanting and Other Trade related Services-Merchanting,merchanting-and-other-trade-related-services-merchanting,,110,
Merchanting and Other Trade related Services-Other trade related services,merchanting-and-other-trade-related-services-other-trade-related-services,,111,
Merchanting and Other Trade related Services-Total,merchanting-and-other-trade-related-services-total,,112,
"Personal, Cultural and Recreational  Services-Audio- Visual and related services ",personal-cultural-and-recreational-services-audio-visual-and-related-services,,113,
"Personal, Cultural and Recreational  Services-Medical Services",personal-cultural-and-recreational-services-medical-services,,114,
"Personal, Cultural and Recreational  Services-Training and educational services",personal-cultural-and-recreational-services-training-and-educational-services,,115,
"Personal, Cultural and Recreational  Services-Heritage and recreational services",personal-cultural-and-recreational-services-heritage-and-recreational-services,,116,
"Personal, Cultural and Recreational  Services-Social, domestic and other personal services",personal-cultural-and-recreational-services-social-domestic-and-other-personal-services,,117,
"Personal, Cultural and Recreational  Services-Total",personal-cultural-and-recreational-services-total,,118,
Technical and Scientific Services-Architectural services,technical-and-scientific-services-architectural-services,,119,
Technical and Scientific Services-Engineering Services,technical-and-scientific-services-engineering-services,,120,
Technical and Scientific Services-Scientific and other techinical services inc surveying,technical-and-scientific-services-scientific-and-other-techinical-services-inc-surveying,,121,
Technical and Scientific Services-Total,technical-and-scientific-services-total,,122,
Technical and Scientific Services-Other trade in services,technical-and-scientific-services-other-trade-in-services,,123,
