Label,Notation,Parent Notation,Sort Priority,Description
Austria,itis/austria,,1,
Belgium,itis/belgium,,2,
Bulgaria,itis/bulgaria,,3,
Croatia,itis/croatia,,4,
Cyprus,itis/cyprus,,5,
Czech Republic,itis/czech-republic,,6,
Denmark,itis/denmark,,7,
Estonia,itis/estonia,,8,
Finland,itis/finland,,9,
France,itis/france,,10,
Germany,itis/germany,,11,
Greece,itis/greece,,12,
Hungary,itis/hungary,,13,
Irish Republic,itis/irish-republic,,14,
Italy,itis/italy,,15,
Latvia,itis/latvia,,16,
Lithuania,itis/lithuania,,17,
Luxembourg,itis/luxembourg,,18,
Malta,itis/malta,,19,
Netherlands,itis/netherlands,,20,
Poland,itis/poland,,21,
Portugal,itis/portugal,,22,
Romania,itis/romania,,23,
Slovakia,itis/slovakia,,24,
Slovenia,itis/slovenia,,25,
Spain,itis/spain,,26,
Sweden,itis/sweden,,27,
EU Institutions,itis/eu-institutions,,28,
Total EU(28),itis/total-eu-28,,29,
Iceland,itis/iceland,,30,
Liechtenstein,itis/liechtenstein,,31,
Norway,itis/norway,,32,
Switzerland,itis/switzerland,,33,
EFTA,itis/efta,,34,
Russia,itis/russia,,35,
Channel Islands,itis/channel-islands,,36,
Isle of Man,itis/isle-of-man,,37,
Turkey,itis/turkey,,38,
Rest of Europe,itis/rest-of-europe,,39,
Europe Unallocated,itis/europe-unallocated,,40,
Europe,itis/europe,,41,
Brazil,itis/brazil,,42,
Canada,itis/canada,,43,
Mexico,itis/mexico,,44,
USA,itis/usa,,45,
Rest of America,itis/rest-of-america,,46,
America Unallocated,itis/america-unallocated,,47,
Total America,itis/america,,48,
China,itis/china,,49,
Hong Kong,itis/hong-kong,,50,
India,itis/india,,51,
Indonesia,itis/indonesia,,52,
Israel,itis/israel,,53,
Japan,itis/japan,,54,
Malaysia,itis/malaysia,,55,
Pakistan,itis/pakistan,,56,
Philippines,itis/philippines,,57,
Saudi Arabia,itis/saudi-arabia,,58,
Singapore,itis/singapore,,59,
South Korea,itis/south-korea,,60,
Taiwan,itis/taiwan,,61,
Thailand,itis/thailand,,62,
Rest of Asia,itis/rest-of-asia,,63,
Asia Unallocated,itis/asia-unallocated,,64,
Total Asia,itis/asia,,65,
Australia,itis/australia,,66,
New Zealand,itis/new-zealand,,67,
Rest of Australia and Oceania,itis/rest-of-australia-and-oceania,,68,
Oceania Unallocated,itis/oceania-unallocated,,69,
Total Australasia and Oceania,itis/australasia-and-oceania,,70,
Nigeria,itis/nigeria,,71,
South Africa,itis/south-africa,,72,
Rest of Africa,itis/rest-of-africa,,73,
Africa Unallocated,itis/africa-unallocated,,74,
Total Africa,itis/africa,,75,
International Organisations,itis/international-organisations,,76,
World,itis/world,,77,
Total Unallocated,itis/unallocated,,78,
Total Australasia and Oceania and Total Unallocated,itis/australasia-and-oceania-and-total-unallocated,,79,
"Total Australasia, Oceania and Others",itis/australasia-oceania-and-others,,80,
Total European Union,itis/european-union-eu,,81,
"Total Australasia,Oceania and Total Unallocated",itis/total-australasia-oceania-and-total-unallocated,,82,
