Label,Notation,Parent Notation
Pure-bred breeding horses,1012100,
"Live horses (excl. for slaughter, pure-bred for breeding)",1012990,
Pure-bred breeding swine,1031000,
Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks),1051199,
"Live domestic ducks, weighing <= 185 g",1051300,
"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",1061900,
"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",1062000,
"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",1069000,
"Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece",2023010,
"Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)",2023090,
Frozen fore-ends and cuts thereof of domestic swine,2032911,
"Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",2032959,
Frozen sheep carcases and half-carcases (excl. lambs),2044100,
Frozen boneless cuts of goat,2045079,
Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products),2062991,
"Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)",2062999,
"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")",2071190,
"Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus",2071330,
Frozen halves or quarters of fowls of the species Gallus domesticus,2071420,
"Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus",2071430,
"Frozen whole wings, with or without tips, of turkeys of the species domesticus",2072730,
Dried or smoked boneless domestic swine meat (excl. bellies and cuts thereof),2101981,
Live ornamental freshwater fish,3011100,
Live ornamental fish (excl. freshwater),3011900,
"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",3021400,
"Fresh or chilled herring ""Clupea harengus, clupea pallasii""",3024100,
"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack, blue whitings, Boreogadus saida, whiting, pollack and ling)",3025990,
"Fresh or chilled fish, n.e.s.",3028990,
"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",3031300,
"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)",3031900,
"Frozen tilapia ""Oreochromis spp.""",3032300,
"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",3032400,
"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" (excl. halibut, plaice, sole, turbot, flounder, Rhombosolea spp., Pelotreis flavilatus and Peltorhamphus novaezelandiae)",3033985,
"Frozen herrings ""Clupea harengus, Clupea pallasii""",3035100,
"Frozen mackerel ""Scomber scombrus, Scomber japonicus""",3035410,
"Frozen Alaska pollack ""Theragra chalcogramma""",3036700,
"Frozen freshwater fish, n.e.s.",3038910,
"Frozen fish of the genus Euthynnus (excl. skipjack or stripe-bellied bonito, and fish for industrial processing or preservation)",3038929,
Frozen fish livers and roes (excl. roes for the manufacture of deoxyribonucleic acid or protamine sulphate),3039090,
"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",3043200,
"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",3044100,
"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, coalfish and Boreogadus saida)",3044490,
"Frozen fillets of cod ""Gadus morhua, Gadus ogac""",3047190,
"Frozen fillets of haddock ""Melanogrammus aeglefinus""",3047200,
"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack, Boreogadus saida, whiting, blue grenadier and ling)",3047990,
"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",3048100,
"Frozen fillets of trout ""Oncorhynchus mykiss"", weighing > 400 g each",3048210,
"Frozen fillets of herring ""Clupea harengus, Clupea pallasii""",3048600,
"Frozen fillets of freshwater fish, n.e.s.",3048910,
"Frozen fillets of redfish ""Sebastes marinus""",3048921,
"Frozen fish fillets, n.e.s.",3048990,
"Frozen meat, whether or not minced, of haddock ""Melanogrammus aeglefinus"" (excl. fillets and surimi)",3049530,
Frozen meat of saltwater fish n.e.s. (excl. fillets and surimi),3049999,
"Smoked Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"", incl. fillets (excl. offal)",3054100,
"Smoked herring ""Clupea harengus, Clupea pallasii"", incl. fillets (excl. offal)",3054200,
"Smoked mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"", incl. fillets (excl. offal)",3054930,
"Fish, dried, even salted, not smoked (excl. cod, Boreogadus saida, herring, anchovies, Atlantic halibut and fillets and offal)",3055980,
"Fish, only salted or in brine (excl. herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch, snakeheads, Boreogadus saida, Atlantic halibut, Pacific salmon, Atlantic salmon, Danube salmon and fillets and offal)",3056980,
"Frozen lobsters ""Homarus spp."" (excl. whole and smoked)",3061290,
"Frozen crabs, even in shell, incl. crabs in shell, cooked by steaming or by boiling in water (excl. smoked and ""Paralithodes camchaticus"", ""Chionoecetes spp."", ""Callinectes sapidus"" and ""Cancer pagurus"")",3061490,
"Frozen shrimps and prawns, smoked, even in shell, even cooked but not otherwise prepared (excl. cold-water shrimps and prawns)",3061710,
"Frozen crustaceans, fit for human consumption, even in shell, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. smoked and rock lobster and other sea crawfish, lobsters, shrimps, prawns, crabs, freshwater crayfish and Norway lobsters ""Nephrops norvegicus""); frozen flours, meals, and pellets of crustaceans, fit for human consumption (excl. smoked)",3061990,
"Norway lobsters ""Nephrops norvegicus"", even in shell, live, fresh, chilled, dried, salted or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water (excl. smoked)",3062590,
"Shrimps and prawns, even in shell, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excl. smoked, frozen and ""Pandalidae"" and ""Crangon"")",3062799,
"Crustaceans, fit for human consumption, even in shell, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. smoked, frozen and rock lobster and other sea crawfish, lobsters, shrimps, prawns, crabs, freshwater crayfish and Norway lobsters ""Nephrops norvegicus""); flours, meals, and pellets of crustaceans, fit for human consumption (excl. smoked and frozen)",3062990,
"Oysters, even in shell, live, fresh or chilled (excl. live flat oysters ""Ostrea"" weighing ""incl. shell"" <= 40 g)",3071190,
"Mussels ""Perna spp."", frozen, dried, salted or in brine, even in shell (excl. smoked)",3073990,
"Cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", live, fresh or chilled, with or without shell",3074110,
"Octopus ""Octopus spp."", frozen (excl. smoked)",3075910,
"Live, fresh or chilled molluscs, fit for human consumption, even in shell (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels ""Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp., Todarodes sagittatus"", octopus ""Octopus spp."", snails other than sea snails, clams, cockles and ark shells and abalone); fresh or chilled flours, meals and pellets of molluscs, fit for human consumption",3079190,
"Live, fresh or chilled, sea urchins ""Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus""",3082100,
"Live, fresh or chilled, aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all fresh or chilled flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",3089010,
"Dried, salted or in brine, aquatic invertebrates (excl. smoked and crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); dried, salted or in brine, flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",3089090,
"Milk and cream of a fat content by weight of <= 1%, in immediate packings of <= 2 l, not concentrated nor containing added sugar or other sweetening matter",4011010,
"Milk and cream of a fat content by weight of <= 3% but > 1%, in immediate packings of <= 2 l, not concentrated nor containing added sugar or other sweetening matter",4012011,
"Milk and cream of a fat content by weight of <= 3% but > 1%, not concentrated nor containing added sugar or other sweetening matter (excl. in immediate packings of <= 2 l)",4012019,
"Milk and cream of a fat content by weight of > 45%, in immediate packings of <= 2 l, not concentrated nor containing added sugar or other sweetening matter",4015091,
"Milk and cream in solid forms, of a fat content by weight of <= 1,5%, unsweetened, in immediate packings of > 2,5 kg",4021019,
"Milk and cream in solid forms, of a fat content by weight of <= 1,5%, sweetened, in immediate packings of <= 2,5 kg",4021091,
"Milk and cream in solid forms, of a fat content by weight of <= 1,5%, sweetened, in immediate packings of > 2,5 kg",4021099,
"Milk and cream in solid forms, of a fat content by weight of <= 27% but > 1,5%, unsweetened, in immediate packings of > 2,5 kg or put up otherwise",4022118,
"Milk and cream, concentrated, of a fat content by weight of > 8% but <= 10%, unsweetened (excl. in solid forms)",4029130,
"Milk and cream, concentrated, of a fat content by weight of > 45%, unsweetened, in immediate packings of <= 2,5 kg (excl. in solid forms)",4029191,
"Milk and cream, concentrated, of a fat content by weight of > 45%, sweetened, in immediate packings of > 2,5 kg (excl. in solid forms)",4029999,
"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of <= 15% by weight and a fat content, by weight, of <= 1,5%",4041002,
"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of <= 15% by weight and a fat content, by weight, of > 1,5 and <= 27%",4041004,
"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of > 15% by weight and a fat content, by weight, of > 1,5% and <= 27%",4041014,
"Whey and modified whey, in powder, granules or other solid forms, with added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of <= 15% by weight and a fat content, by weight, of > 27%",4041032,
"Products consisting of natural milk constituents, with added sugar or other sweetening matter, of a fat content, by weight, of > 1,5% but <= 27%, n.e.s.",4049083,
"Natural butter of a fat content, by weight, of >= 80% but <= 85%, in immediate packings of a net content of <= 1 kg (excl. dehydrated butter and ghee)",4051011,
"Natural butter of a fat content, by weight, of >= 80% but <= 85% (excl. in immediate packings of a net content of <= 1 kg, and dehydrated butter and ghee)",4051019,
"Fresh cheese ""unripened or uncured cheese"", incl. whey cheese and curd of a fat content, by weight, of > 40%",4061080,
