Label,Notation,Parent Notation,Sort Priority,Description
All activities,all-activities,,1,
Administrative and support service activities,administrative-support,all-activities,2,
"Agriculture, forestry & fishing",agriculture-forestry-fishing,all-activities,3,
"Computer, electronic and optical products",computer-electronic-optical,all-activities,4,
Construction,construction,all-activities,5,
"Electricity, gas, water and waste",electricity-gas-water-waste,all-activities,6,
Financial services,financial-services,all-activities,7,
"Food products, beverages & tobacco products",food-beverages-tobacco,all-activities,8,
Information and communication,information-communication,all-activities,9,
Metal and machinery products,metal-machinery,all-activities,10,
Mining & quarrying,mining-quarrying,all-activities,11,
Other manufacturing,other-manufacturing,all-activities,12,
Other services,other-services,all-activities,13,
"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",petroleum-chemicals,all-activities,14,
"Professional, scientific & technical services",professional-scientific-services,all-activities,15,
"Retail & wholesale trade, repair of motor vehicles & motor cycles",retail-wholesale-trade,all-activities,16,
Textiles & wood activities,textiles-wood,all-activities,17,
Transport equipment,transport-equipment,all-activities,18,
Transportation & storage,transportation-storage,all-activities,19,
