NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UK,2011,information-communication,exports,21105
UK,2011,real-estate,exports,27519
UK,2011,insurance-pension,exports,14417
UK,2011,financial,exports,50090
UK,2011,administrative-support,exports,3590
UK,2011,other,exports,1653
UK,2011,all,exports,188270
UKC,2012,primary-utilities,exports,5
UKC,2012,manufacturing,exports,500
UKC,2012,transport,exports,278
UKC,2012,travel,exports,371
UKC,2012,construction,exports,24
UKC,2012,wholesale-motor,exports,76
UKC,2012,retail,exports,20
UKC,2012,information-communication,exports,139
UKC,2012,real-estate,exports,477
UKC,2012,insurance-pension,exports,445
UKC,2012,financial,exports,1024
UKC,2012,administrative-support,exports,38
UKC,2012,other,exports,11
UKC,2012,all,exports,3408
UKD,2012,primary-utilities,exports,50
UKD,2012,manufacturing,exports,2406
UKD,2012,transport,exports,1968
UKD,2012,travel,exports,1146
UKD,2012,construction,exports,63
UKD,2012,wholesale-motor,exports,715
UKD,2012,retail,exports,72
UKD,2012,information-communication,exports,658
UKD,2012,real-estate,exports,1748
UKD,2012,insurance-pension,exports,1980
UKD,2012,financial,exports,3190
UKD,2012,administrative-support,exports,203
UKD,2012,other,exports,288
UKD,2012,all,exports,14486
UKE,2012,primary-utilities,exports,12
UKE,2012,manufacturing,exports,611
UKE,2012,transport,exports,1360
UKE,2012,travel,exports,542
UKE,2012,construction,exports,45
UKE,2012,wholesale-motor,exports,268
UKE,2012,retail,exports,48
UKE,2012,information-communication,exports,329
UKE,2012,real-estate,exports,661
UKE,2012,insurance-pension,exports,437
UKE,2012,financial,exports,2505
UKE,2012,administrative-support,exports,120
UKE,2012,other,exports,17
UKE,2012,all,exports,6957
UKF,2012,primary-utilities,exports,46
UKF,2012,manufacturing,exports,600
UKF,2012,transport,exports,477
UKF,2012,travel,exports,483
UKF,2012,construction,exports,32
UKF,2012,wholesale-motor,exports,128
UKF,2012,retail,exports,49
UKF,2012,information-communication,exports,599
UKF,2012,real-estate,exports,455
UKF,2012,insurance-pension,exports,471
UKF,2012,financial,exports,1271
UKF,2012,administrative-support,exports,139
UKF,2012,other,exports,75
UKF,2012,all,exports,4825
UKG,2012,primary-utilities,exports,14
UKG,2012,manufacturing,exports,528
UKG,2012,transport,exports,506
UKG,2012,travel,exports,747
UKG,2012,construction,exports,34
UKG,2012,wholesale-motor,exports,171
UKG,2012,retail,exports,62
UKG,2012,information-communication,exports,808
UKG,2012,real-estate,exports,613
UKG,2012,insurance-pension,exports,1573
UKG,2012,financial,exports,2073
UKG,2012,administrative-support,exports,75
UKG,2012,other,exports,93
UKG,2012,all,exports,7298
UKH,2012,primary-utilities,exports,37
UKH,2012,manufacturing,exports,1193
UKH,2012,transport,exports,1519
UKH,2012,travel,exports,999
UKH,2012,construction,exports,93
UKH,2012,wholesale-motor,exports,319
UKH,2012,retail,exports,87
UKH,2012,information-communication,exports,1200
UKH,2012,real-estate,exports,2932
UKH,2012,insurance-pension,exports,1630
UKH,2012,financial,exports,1960
UKH,2012,administrative-support,exports,352
UKH,2012,other,exports,138
UKH,2012,all,exports,12456
UKI,2012,primary-utilities,exports,66
UKI,2012,manufacturing,exports,784
UKI,2012,transport,exports,9143
UKI,2012,travel,exports,13018
UKI,2012,construction,exports,726
UKI,2012,wholesale-motor,exports,3802
UKI,2012,retail,exports,394
UKI,2012,information-communication,exports,11792
UKI,2012,real-estate,exports,15300
UKI,2012,insurance-pension,exports,3161
