,Label,Notation,Parent Notation,Sort Priority
990,SGLT,SGLT,,
991,SGLW,SGLW,,
992,SGMJ,SGMJ,,
993,SGML,SGML,,
994,SGMO,SGMO,,
995,SGNB,SGNB,,
996,SGND,SGND,,
997,SGNF,SGNF,,
998,SGNI,SGNI,,
999,SGNV,SGNV,,
1000,SGNX,SGNX,,
1001,SGOA,SGOA,,
1002,SGOO,SGOO,,
1003,SGOY,SGOY,,
1004,SGPB,SGPB,,
1005,SGPF,SGPF,,
1006,SGQJ,SGQJ,,
1007,SGQM,SGQM,,
1008,SGQQ,SGQQ,,
1009,SGRK,SGRK,,
1010,SGRU,SGRU,,
1011,SGRX,SGRX,,
1012,SGSB,SGSB,,
1013,SGTG,SGTG,,
1014,SGTK,SGTK,,
1015,SGTO,SGTO,,
1016,SGUS,SGUS,,
1017,SGVA,SGVA,,
1018,SGWH,SGWH,,
1019,SGWO,SGWO,,
1020,SGYA,SGYA,,
1021,SGYH,SGYH,,
1022,SGZQ,SGZQ,,
1023,SGZX,SGZX,,
1024,SHBF,SHBF,,
1025,SHBH,SHBH,,
1026,SHBJ,SHBJ,,
1027,SHBM,SHBM,,
1028,SHCA,SHCA,,
1029,SHCC,SHCC,,
1030,SHCH,SHCH,,
1031,SHCV,SHCV,,
1032,SHCY,SHCY,,
1033,SHDA,SHDA,,
1034,SHDD,SHDD,,
1035,SHDS,SHDS,,
1036,SHDU,SHDU,,
1037,SHDX,SHDX,,
1038,SHEM,SHEM,,
1039,SHEP,SHEP,,
1040,SHEZ,SHEZ,,
1041,SHFC,SHFC,,
1042,SHFM,SHFM,,
1043,SHFP,SHFP,,
1044,SHFZ,SHFZ,,
1045,SHGC,SHGC,,
1046,SHGM,SHGM,,
1047,SHGP,SHGP,,
1048,SHGZ,SHGZ,,
1049,SHHC,SHHC,,
1050,SHHM,SHHM,,
1051,SHHP,SHHP,,
1052,SHHZ,SHHZ,,
1053,SHIC,SHIC,,
1054,SHIN,SHIN,,
1055,SHIQ,SHIQ,,
1056,SHJB,SHJB,,
1057,SHJE,SHJE,,
1058,SHJO,SHJO,,
1059,SHJR,SHJR,,
1060,SHKB,SHKB,,
1061,SHKE,SHKE,,
1062,SHKQ,SHKQ,,
1063,SHKT,SHKT,,
1064,SHLD,SHLD,,
1065,SHLG,SHLG,,
1066,SHLQ,SHLQ,,
1067,SHLT,SHLT,,
1068,SHMD,SHMD,,
1069,SHMG,SHMG,,
1070,SHMT,SHMT,,
1071,SHNG,SHNG,,
1072,SHNT,SHNT,,
1073,SHOG,SHOG,,
1074,SHOT,SHOT,,
1075,SHPG,SHPG,,
1076,SHPU,SHPU,,
1077,SHQH,SHQH,,
1078,SHRQ,SHRQ,,
1079,SHSE,SHSE,,
1080,SHSR,SHSR,,
1081,SHTJ,SHTJ,,
1082,SHTV,SHTV,,
1083,SHTY,SHTY,,
1084,SHUW,SHUW,,
1085,SHVD,SHVD,,
1086,SHVS,SHVS,,
1087,SHVV,SHVV,,
1088,SHWF,SHWF,,
1089,SHWI,SHWI,,
1090,SHWY,SHWY,,
1091,SHXL,SHXL,,
1092,SHYC,SHYC,,
1093,SHYS,SHYS,,
1094,SHZF,SHZF,,
1095,SHZZ,SHZZ,,
1096,SIAM,SIAM,,
1097,SIAZ,SIAZ,,
1098,SIBM,SIBM,,
1099,SIBZ,SIBZ,,
1100,SICM,SICM,,
1101,SICZ,SICZ,,
1102,SIFU,SIFU,,
1103,SIFX,SIFX,,
1104,SIGH,SIGH,,
1105,SIGK,SIGK,,
1106,SIGU,SIGU,,
1107,SIGX,SIGX,,
1108,SIHH,SIHH,,
1109,SIHK,SIHK,,
1110,SIHU,SIHU,,
1111,SIHW,SIHW,,
1112,SIHY,SIHY,,
1113,SIIB,SIIB,,
1114,SIIO,SIIO,,
1115,SIIQ,SIIQ,,
1116,SIIT,SIIT,,
1117,SIJG,SIJG,,
1118,SIJI,SIJI,,
1119,SIJK,SIJK,,
1120,SIJN,SIJN,,
1121,SIKA,SIKA,,
1122,SIKC,SIKC,,
1123,SIKF,SIKF,,
1124,SIKS,SIKS,,
1125,SIKV,SIKV,,
1126,SILF,SILF,,
1127,SILI,SILI,,
1128,SILS,SILS,,
1129,SILV,SILV,,
1130,SIMF,SIMF,,
1131,SIMI,SIMI,,
1132,SIMX,SIMX,,
1133,SINK,SINK,,
1134,SINY,SINY,,
1135,SIOL,SIOL,,
1136,SIOY,SIOY,,
1137,SIPL,SIPL,,
1138,SIPY,SIPY,,
1139,SIQL,SIQL,,
1140,SIQV,SIQV,,
1141,SIQY,SIQY,,
1142,SIRI,SIRI,,
1143,SIRL,SIRL,,
1144,SIRV,SIRV,,
1145,SIRY,SIRY,,
1146,SISI,SISI,,
1147,SISL,SISL,,
1148,SISY,SISY,,
1149,SITL,SITL,,
1150,SITY,SITY,,
1151,SIUL,SIUL,,
1152,SIVG,SIVG,,
1153,SIVT,SIVT,,
1154,SIWG,SIWG,,
1155,SIWT,SIWT,,
1156,SIXG,SIXG,,
1157,SIXT,SIXT,,
1158,SIYG,SIYG,,
1159,SIYT,SIYT,,
1160,SIZE,SIZE,,
1161,SIZJ,SIZJ,,
1162,SIZW,SIZW,,
1163,SJAB,SJAB,,
1164,SJAP,SJAP,,
1165,SJAV,SJAV,,
1166,SJBI,SJBI,,
1167,SJBN,SJBN,,
1168,SJCI,SJCI,,
1169,SJCV,SJCV,,
1170,SJDK,SJDK,,
1171,SJDY,SJDY,,
1172,SJEL,SJEL,,
1173,SJEZ,SJEZ,,
1174,SJFN,SJFN,,
1175,SJGA,SJGA,,
1176,SJGO,SJGO,,
1177,SJHB,SJHB,,
1178,SJIA,SJIA,,
1179,SJIO,SJIO,,
1180,SJJB,SJJB,,
1181,SJJO,SJJO,,
1182,SJKC,SJKC,,
1183,SJKP,SJKP,,
1184,SJLC,SJLC,,
1185,SJLP,SJLP,,
1186,SJMC,SJMC,,
1187,SJMP,SJMP,,
1188,SJNC,SJNC,,
1189,SJNP,SJNP,,
1190,SJOC,SJOC,,
1191,SJOP,SJOP,,
1192,SJPE,SJPE,,
1193,SJPR,SJPR,,
1194,SJQE,SJQE,,
1195,SJQR,SJQR,,
1196,SJRE,SJRE,,
1197,SJRR,SJRR,,
1198,SJSE,SJSE,,
1199,SJSR,SJSR,,
1200,SJTE,SJTE,,
1201,SJTR,SJTR,,
1202,SJUE,SJUE,,
1203,SJUR,SJUR,,
1204,SJVF,SJVF,,
1205,SJVS,SJVS,,
1206,SJWP,SJWP,,
1207,SJXD,SJXD,,
1208,SJXQ,SJXQ,,
1209,SJYK,SJYK,,
1210,SJYX,SJYX,,
1211,SJZO,SJZO,,
1212,SKAE,SKAE,,
1213,SKAR,SKAR,,
1214,SKBH,SKBH,,
1215,SKBU,SKBU,,
1216,SKNT,SKNT,,
1217,SKOG,SKOG,,
1218,SKOT,SKOT,,
1219,SKPG,SKPG,,
1220,SKPT,SKPT,,
1221,SKQG,SKQG,,
1222,SKQT,SKQT,,
1223,SKRG,SKRG,,
1224,SKRT,SKRT,,
1225,SKSG,SKSG,,
1226,SKST,SKST,,
1227,SKTG,SKTG,,
1228,SKTY,SKTY,,
1229,SKUB,SKUB,,
1230,SKUF,SKUF,,
1231,SKVJ,SKVJ,,
1232,SKVM,SKVM,,
1233,SKVQ,SKVQ,,
1234,SKWQ,SKWQ,,
1235,SKWT,SKWT,,
1236,SKWX,SKWX,,
1237,SKYG,SKYG,,
1238,SKYJ,SKYJ,,
1239,SKYN,SKYN,,
1240,SKZI,SKZI,,
1241,SKZV,SKZV,,
1242,SLAI,SLAI,,
1243,SLAV,SLAV,,
1244,SLBF,SLBF,,
1245,SLBI,SLBI,,
1246,SLBS,SLBS,,
1247,SLBV,SLBV,,
1248,SLCF,SLCF,,
1249,SLCI,SLCI,,
1250,SLCS,SLCS,,
1251,SLCV,SLCV,,
1252,SLDI,SLDI,,
1253,SLDV,SLDV,,
1254,SLEI,SLEI,,
1255,SLEV,SLEV,,
1256,SLFI,SLFI,,
1257,SLFV,SLFV,,
1258,SLGI,SLGI,,
1259,SLGV,SLGV,,
1260,SLHI,SLHI,,
1261,SLHV,SLHV,,
1262,SLII,SLII,,
1263,SLIV,SLIV,,
1264,SLJO,SLJO,,
1265,SLKB,SLKB,,
1266,SLKP,SLKP,,
1267,SLLC,SLLC,,
1268,SLLP,SLLP,,
1269,SLMD,SLMD,,
1270,SLMQ,SLMQ,,
1271,SLNG,SLNG,,
1272,SLNZ,SLNZ,,
1273,SLPM,SLPM,,
1274,SLQA,SLQA,,
1275,SLQN,SLQN,,
1276,SLRH,SLRH,,
1277,SLRU,SLRU,,
1278,SLSN,SLSN,,
1279,SLTB,SLTB,,
1280,SLTO,SLTO,,
1281,SLUE,SLUE,,
1282,SLUR,SLUR,,
1283,SLVE,SLVE,,
1284,SLVS,SLVS,,
1285,SLWF,SLWF,,
1286,SLWS,SLWS,,
1287,SLXF,SLXF,,
1288,SLXS,SLXS,,
1289,SLYF,SLYF,,
1290,SLYS,SLYS,,
1291,SLZF,SLZF,,
1292,SLZS,SLZS,,
1293,SMAF,SMAF,,
1294,SMAS,SMAS,,
1295,SMBF,SMBF,,
1296,SMBS,SMBS,,
1297,SMCF,SMCF,,
1298,SMCS,SMCS,,
1299,SMDF,SMDF,,
1300,SMDS,SMDS,,
1301,SMEF,SMEF,,
1302,SMES,SMES,,
1303,SMFF,SMFF,,
1304,SMFS,SMFS,,
1305,SMGF,SMGF,,
1306,SMGS,SMGS,,
1307,SMHF,SMHF,,
1308,SMIQ,SMIQ,,
1309,SMIT,SMIT,,
1310,SMJD,SMJD,,
1311,SMJG,SMJG,,
1312,SMJR,SMJR,,
1313,SMJU,SMJU,,
1314,SMKE,SMKE,,
1315,SMKH,SMKH,,
1316,SMLW,SMLW,,
1317,SMLZ,SMLZ,,
1318,SMMJ,SMMJ,,
1319,SMMM,SMMM,,
1320,SMMZ,SMMZ,,
1321,SMNC,SMNC,,
1322,SMNM,SMNM,,
1323,SMNP,SMNP,,
1324,SMPY,SMPY,,
1325,SMQL,SMQL,,
1326,SMQY,SMQY,,
1327,SMRL,SMRL,,
1328,SMRV,SMRV,,
1329,SMRY,SMRY,,
1330,SMSI,SMSI,,
1331,SMSL,SMSL,,
1332,SMSV,SMSV,,
1333,SMSY,SMSY,,
1334,SMTI,SMTI,,
1335,SMTL,SMTL,,
1336,SMUJ,SMUJ,,
1337,SMUM,SMUM,,
1338,SMUW,SMUW,,
1339,SMUZ,SMUZ,,
1340,SMVJ,SMVJ,,
1341,SMVM,SMVM,,
1342,SMVW,SMVW,,
1343,SMVZ,SMVZ,,
1344,SMWM,SMWM,,
1345,SMWZ,SMWZ,,
1346,SMXM,SMXM,,
1347,SMXZ,SMXZ,,
1348,SMYM,SMYM,,
1349,SMYZ,SMYZ,,
1350,SMZM,SMZM,,
1351,SNAA,SNAA,,
1352,WMCX,WMCX,,
1353,WMDB,WMDB,,
1354,WMDC,WMDC,,
1355,WMDG,WMDG,,
1356,WYUF,WYUF,,
1357,WYUT,WYUT,,
1358,SEVW,SEVW,,
1359,SEVT,SEVT,,
1360,SEXH,SEXH,,
1361,SEXE,SEXE,,
1362,SEYO,SEYO,,
1363,SEYL,SEYL,,
1364,SEZZ,SEZZ,,
1365,SEZW,SEZW,,
1366,L87P,L87P,,
1367,L87R,L87R,,
1368,LGCM,LGCM,,
1369,LGCI,LGCI,,
1370,L87T,L87T,,
1371,LGDE,LGDE,,
1372,LGDA,LGDA,,
1373,L87J,L87J,,
1374,L87L,L87L,,
1375,LGEA,LGEA,,
1376,LGDW,LGDW,,
1377,L87N,L87N,,
1378,LGET,LGET,,
1379,LGEP,LGEP,,
1380,HGAA,HGAA,,
1381,BQKP,BQKP,,
1382,HGAD,HGAD,,
1383,BQKN,BQKN,,
1384,SDNF,SDNF,,
1385,SDOV,SDOV,,
1386,SDQG,SDQG,,
1387,SDRW,SDRW,,
1388,BPGA,BPGA,,
1389,JYVG,JYVG,,
1390,JYVT,JYVT,,
1391,JYWG,JYWG,,
1392,JYYW,JYYW,,
1393,OABG,OABG,,
1394,OKCK,OKCK,,
1395,OKDW,OKDW,,
1396,JYZJ,JYZJ,,
1397,JYZW,JYZW,,
1398,JZBJ,JZBJ,,
1399,JZDZ,JZDZ,,
1400,JZEM,JZEM,,
1401,JZEZ,JZEZ,,
1402,JZFM,JZFM,,
1403,JZIC,JZIC,,
1404,JZIU,JZIU,,
1405,JZJX,JZJX,,
1406,JZMO,JZMO,,
1407,JZNB,JZNB,,
1408,OABI,OABI,,
1409,OKCL,OKCL,,
1410,OKDX,OKDX,,
1411,SMFP,SMFP,,
1412,SMGC,SMGC,,
1413,SMGP,SMGP,,
1414,SMHC,SMHC,,
1415,JZNO,JZNO,,
1416,JZOB,JZOB,,
1417,JZOO,JZOO,,
1418,JZPB,JZPB,,
1419,OABO,OABO,,
1420,OKCM,OKCM,,
1421,OKDY,OKDY,,
1422,JZVO,JZVO,,
1423,JZWB,JZWB,,
1424,JZWO,JZWO,,
1425,JZXB,JZXB,,
1426,OACJ,OACJ,,
1427,OKCP,OKCP,,
1428,OKEB,OKEB,,
1429,JZPO,JZPO,,
1430,JZQB,JZQB,,
1431,JZQO,JZQO,,
1432,JZRB,JZRB,,
1433,JZRO,JZRO,,
1434,JZSB,JZSB,,
1435,JZSO,JZSO,,
1436,JZTB,JZTB,,
1437,OABP,OABP,,
1438,OKCN,OKCN,,
1439,OKDZ,OKDZ,,
1440,JZTO,JZTO,,
1441,JZUB,JZUB,,
1442,JZUO,JZUO,,
1443,JZVB,JZVB,,
1444,OACH,OACH,,
1445,OKCO,OKCO,,
1446,OKEA,OKEA,,
1447,JZXP,JZXP,,
1448,JZYC,JZYC,,
1449,JZYP,JZYP,,
1450,LGBT,LGBT,,
1451,OACN,OACN,,
1452,OKCQ,OKCQ,,
1453,OKEC,OKEC,,
1454,LGFJ,LGFJ,,
1455,LGFW,LGFW,,
1456,LGGJ,LGGJ,,
1457,LGGW,LGGW,,
1458,LGHJ,LGHJ,,
1459,LJDG,LJDG,,
1460,LJVD,LJVD,,
1461,LKBV,LKBV,,
1462,SDTL,SDTL,,
1463,SDUX,SDUX,,
1464,SDWH,SDWH,,
1465,SDXS,SDXS,,
1466,ELBK,ELBK,,
1467,BPGB,BPGB,,
1468,LKYE,LKYE,,
1469,LKYP,LKYP,,
1470,LNIT,LNIT,,
1471,LNNA,LNNA,,
1472,LNOY,LNOY,,
1473,LOAX,LOAX,,
1474,LOBK,LOBK,,
1475,LOBV,LOBV,,
1476,LOCI,LOCI,,
1477,MBBU,MBBU,,
1478,MBCH,MBCH,,
1479,MBCU,MBCU,,
1480,MBDJ,MBDJ,,
1481,MBDW,MBDW,,
1482,MBEJ,MBEJ,,
1483,MBHF,MBHF,,
1484,MCWB,MCWB,,
1485,SDBF,SDBF,,
1486,SDBS,SDBS,,
1487,SDCF,SDCF,,
1488,OACP,OACP,,
1489,OKCR,OKCR,,
1490,OKED,OKED,,
1491,ENIU,ENIU,,
1492,ENIV,ENIV,,
1493,SGUW,SGUW,,
1494,SGWK,SGWK,,
1495,SGXP,SGXP,,
1496,SGYD,SGYD,,
1497,SGZT,SGZT,,
1498,BPGS,BPGS,,
1499,BPGD,BPGD,,
1500,SIMS,SIMS,,
1501,SINH,SINH,,
1502,SINV,SINV,,
1503,SIOI,SIOI,,
1504,SIOV,SIOV,,
1505,SIPI,SIPI,,
1506,SIPV,SIPV,,
1507,SIQI,SIQI,,
1508,SISV,SISV,,
1509,SITI,SITI,,
1510,SITV,SITV,,
1511,SIUI,SIUI,,
1512,SIVD,SIVD,,
1513,SIVQ,SIVQ,,
1514,SIWD,SIWD,,
1515,SIWQ,SIWQ,,
1516,SIXD,SIXD,,
1517,SIXQ,SIXQ,,
1518,SIYD,SIYD,,
1519,SIYQ,SIYQ,,
1520,OACZ,OACZ,,
1521,OKCU,OKCU,,
1522,OKEG,OKEG,,
1523,SJCE,SJCE,,
1524,SJCS,SJCS,,
1525,SJDF,SJDF,,
1526,SJDV,SJDV,,
1527,OADB,OADB,,
1528,OKCV,OKCV,,
1529,OKEH,OKEH,,
1530,SJEI,SJEI,,
1531,SJEV,SJEV,,
1532,SJFK,SJFK,,
1533,SJFX,SJFX,,
1534,OAEM,OAEM,,
1535,OKCW,OKCW,,
1536,OKEI,OKEI,,
1537,SJGL,SJGL,,
1538,SJGY,SJGY,,
1539,SJHV,SJHV,,
1540,SJIL,SJIL,,
1541,SJIY,SJIY,,
1542,SJJL,SJJL,,
1543,SJJY,SJJY,,
1544,SJKM,SJKM,,
1545,SJKZ,SJKZ,,
1546,SJLM,SJLM,,
1547,SJLZ,SJLZ,,
1548,SJMM,SJMM,,
1549,SJPB,SJPB,,
1550,SJPO,SJPO,,
1551,SJQB,SJQB,,
1552,SJQO,SJQO,,
1553,QALQ,QALQ,,
1554,QALO,QALO,,
1555,QALP,QALP,,
1556,SJRB,SJRB,,
1557,SJRO,SJRO,,
1558,SJSB,SJSB,,
1559,SJSO,SJSO,,
1560,SJVB,SJVB,,
1561,SJVP,SJVP,,
1562,SJWC,SJWC,,
1563,SJXA,SJXA,,
1564,SJTB,SJTB,,
1565,SJTO,SJTO,,
1566,SJUB,SJUB,,
1567,SJUO,SJUO,,
1568,OAEX,OAEX,,
1569,OKCZ,OKCZ,,
1570,OKEL,OKEL,,
1571,SJXN,SJXN,,
1572,SJYG,SJYG,,
1573,SJYU,SJYU,,
1574,SJZH,SJZH,,
1575,QALT,QALT,,
1576,QALR,QALR,,
1577,QALS,QALS,,
1578,SKAB,SKAB,,
1579,SKAO,SKAO,,
1580,SKBD,SKBD,,
1581,SKBR,SKBR,,
1582,BQMY,BQMY,,
1583,BPGE,BPGE,,
1584,SMPV,SMPV,,
1585,SMQI,SMQI,,
1586,SMQV,SMQV,,
1587,SMRI,SMRI,,
1588,SHMQ,SHMQ,,
1589,SHND,SHND,,
1590,SHNQ,SHNQ,,
1591,SHOD,SHOD,,
1592,OAFR,OAFR,,
1593,OKDB,OKDB,,
1594,OKEN,OKEN,,
1595,SHOQ,SHOQ,,
1596,SHPD,SHPD,,
1597,SHPR,SHPR,,
1598,SHQE,SHQE,,
1599,OAFV,OAFV,,
1600,OKDK,OKDK,,
1601,OKEW,OKEW,,
1602,SHRN,SHRN,,
1603,SHSB,SHSB,,
1604,SHSO,SHSO,,
1605,SHTG,SHTG,,
1606,OAFX,OAFX,,
1607,OKDQ,OKDQ,,
1608,OKFC,OKFC,,
1609,SHWU,SHWU,,
1610,SHXI,SHXI,,
1611,SHXV,SHXV,,
1612,SHYP,SHYP,,
1613,OAGE,OAGE,,
1614,OKDC,OKDC,,
1615,OKEO,OKEO,,
1616,SHZC,SHZC,,
1617,SHZV,SHZV,,
1618,SIAJ,SIAJ,,
1619,SIAW,SIAW,,
1620,OAGG,OAGG,,
1621,OKDL,OKDL,,
1622,OKEX,OKEX,,
1623,SIBJ,SIBJ,,
1624,SIBW,SIBW,,
1625,SICJ,SICJ,,
1626,SICW,SICW,,
1627,OAGH,OAGH,,
1628,OKDR,OKDR,,
1629,OKFD,OKFD,,
1630,SKNQ,SKNQ,,
1631,SKOD,SKOD,,
1632,SKOQ,SKOQ,,
1633,SKPD,SKPD,,
1634,OAGJ,OAGJ,,
1635,OKDD,OKDD,,
1636,OKEP,OKEP,,
1637,SKPQ,SKPQ,,
1638,SKQD,SKQD,,
1639,SKQQ,SKQQ,,
1640,SKRD,SKRD,,
1641,OAHU,OAHU,,
1642,OKDM,OKDM,,
1643,OKEY,OKEY,,
1644,SKRQ,SKRQ,,
1645,SKSD,SKSD,,
1646,SKSQ,SKSQ,,
1647,SKTD,SKTD,,
1648,OAHW,OAHW,,
1649,OKDS,OKDS,,
1650,OKFE,OKFE,,
1651,SKZF,SKZF,,
1652,SKZS,SKZS,,
1653,SLAF,SLAF,,
1654,SLAS,SLAS,,
1655,SLDF,SLDF,,
1656,SLDS,SLDS,,
1657,SLEF,SLEF,,
1658,SLES,SLES,,
1659,OAIE,OAIE,,
1660,OKDN,OKDN,,
1661,OKEZ,OKEZ,,
1662,SLFF,SLFF,,
1663,SLFS,SLFS,,
1664,SLGF,SLGF,,
1665,SLGS,SLGS,,
1666,OAIF,OAIF,,
1667,OKDT,OKDT,,
1668,OKFF,OKFF,,
1669,SLHF,SLHF,,
1670,SLHS,SLHS,,
1671,SLIF,SLIF,,
1672,SLIS,SLIS,,
1673,SMWJ,SMWJ,,
1674,SMWW,SMWW,,
1675,SMXJ,SMXJ,,
1676,SMXW,SMXW,,
1677,SLJL,SLJL,,
1678,SLJY,SLJY,,
1679,SLKL,SLKL,,
1680,SLKZ,SLKZ,,
1681,SLLM,SLLM,,
1682,SLMA,SLMA,,
1683,SLMN,SLMN,,
1684,SLNC,SLNC,,
1685,SMYJ,SMYJ,,
1686,SMYW,SMYW,,
1687,SMZJ,SMZJ,,
1688,SMZW,SMZW,,
1689,SLZP,SLZP,,
1690,SMAC,SMAC,,
1691,SMAP,SMAP,,
1692,SMBC,SMBC,,
1693,OAJJ,OAJJ,,
1694,OKDG,OKDG,,
1695,OKES,OKES,,
1696,SMBP,SMBP,,
1697,SMCC,SMCC,,
1698,SMCP,SMCP,,
1699,SMDC,SMDC,,
1700,OAJK,OAJK,,
1701,OKDO,OKDO,,
1702,OKFA,OKFA,,
1703,SMDP,SMDP,,
1704,SMEC,SMEC,,
1705,SMEP,SMEP,,
1706,SMFC,SMFC,,
1707,OAJL,OAJL,,
1708,OKDU,OKDU,,
1709,OKFG,OKFG,,
1710,SLNW,SLNW,,
1711,SLPJ,SLPJ,,
1712,SLPX,SLPX,,
1713,SLQK,SLQK,,
1714,OAJN,OAJN,,
1715,OKDH,OKDH,,
1716,OKET,OKET,,
1717,SLRE,SLRE,,
1718,SLRR,SLRR,,
1719,SLSE,SLSE,,
1720,SLSY,SLSY,,
1721,OAJQ,OAJQ,,
1722,OKDI,OKDI,,
1723,OKEU,OKEU,,
1724,SLTL,SLTL,,
1725,SLUA,SLUA,,
1726,SLUO,SLUO,,
1727,SLVB,SLVB,,
1728,OAKD,OAKD,,
1729,OKDJ,OKDJ,,
1730,OKEV,OKEV,,
1731,SLVP,SLVP,,
1732,SLWC,SLWC,,
1733,SLWP,SLWP,,
1734,SLXC,SLXC,,
1735,OAKE,OAKE,,
1736,OKDP,OKDP,,
1737,OKFB,OKFB,,
1738,SLXP,SLXP,,
1739,SLYC,SLYC,,
1740,SLYP,SLYP,,
1741,SLZC,SLZC,,
1742,OAKG,OAKG,,
1743,OKDV,OKDV,,
1744,OKFH,OKFH,,
1745,SIZC,SIZC,,
1746,SIZG,SIZG,,
1747,SIZY,SIZY,,
1748,SJAN,SJAN,,
1749,SJAR,SJAR,,
1750,SJBK,SJBK,,
1751,SFBG,SFBG,,
1752,SFCR,SFCR,,
1753,SFDM,SFDM,,
1754,SFDZ,SFDZ,,
1755,SFFK,SFFK,,
1756,ENIZ,ENIZ,,
1757,ENDI,ENDI,,
1758,ENGC,ENGC,,
1759,SJMZ,SJMZ,,
1760,SJNM,SJNM,,
1761,SJNZ,SJNZ,,
1762,SJOM,SJOM,,
1763,SFMX,SFMX,,
1764,SFOR,SFOR,,
1765,SFPY,SFPY,,
1766,SFRJ,SFRJ,,
1767,SFSQ,SFSQ,,
1768,SFUB,SFUB,,
1769,SFVI,SFVI,,
1770,SFWT,SFWT,,
1771,SFYA,SFYA,,
1772,SFZL,SFZL,,
1773,SGAS,SGAS,,
1774,SGCG,SGCG,,
