Label,Notation,Parent Notation,Sort Priority,Description
UK resident population mid-year estimates (persons, thousands),uk-resident-population-mid-year-estimates-persons-thousands,,,This data uses the UK resident population mid-year estimates published 26 June 2019
Gross domestic product at market prices,gross-domestic-product-at-market-prices,,,GDP is presented in £ million; also published in the dataset: Quarterly National Accounts, GDP – data tables: National Accounts Aggregates
Gross domestic product per head,gross-domestic-product-per-head,,,
