Label,Notation,Parent Notation,Sort Priority,Description
Suppressed,suppressed,,,
Not Applicable,not-applicable,,,
"Nil or less than £500,000",itis-nil,,,
Disclosive,disclosive,,,
No marker,no-marker,,,There is no marker
Unknown,unknown,,,
Nil or less than a million,nil-or-less-than-a-million,,,
Not Availble,not-available,,,
Provisional,provisional,,,
Estimated,estimated,,,
Nil or less than half the final digit shown,nil-or-less-than-half-the-final-digit-shown,,,
Revised,revised,,,
Complete suppression,complete-suppression,,,
Suppression of Country & Port,suppression-of-country-and-port,,,
suppression-of-country-port-and-total-trade-quantity,suppression-of-country-port-and-total-trade-quantity,,,
