Label,Notation,Parent Notation,Sort Priority
N/A,n-a,,1
Production of Potable Spirits,production-of-potable-spirits,,2
Net Quantities of Spirits Charged with Duty,net-quantities-of-spirits-charged-with-duty,,3
All,all,,4
UK beer production,uk-beer-production,,5
Beer clearances,beer-clearances,,6
Cider clearances,cider-clearances,,7
