Label,Notation,Parent Notation,Sort Priority,Description
Specialised construction activities (other than scaffold erection) n.e.c.,43.99/9,43.99,566,
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,G,total,567,
Wholesale and retail trade and repair of motor vehicles and motorcycles,45,G,568,
Sale of motor vehicles,45.1,45,569,
Sale of cars and light motor vehicles,45.11,45.1,570,
Sale of new cars and light motor vehicles,45.11/1,45.11,571,
Sale of used cars and light motor vehicles,45.11/2,45.11,572,
Sale of other motor vehicles,45.19,45.1,573,
Maintenance and repair of motor vehicles,45.2,45,574,
Maintenance and repair of motor vehicles,45.2,45.2,575,
Sale of motor vehicle parts and accessories,45.3,45,576,
Wholesale trade of motor vehicle parts and accessories,45.31,45.3,577,
Retail trade of motor vehicle parts and accessories,45.32,45.3,578,
"Sale, maintenance and repair of motorcycles and related parts and accessories",45.4,45,579,
"Sale, maintenance and repair of motorcycles and related parts and accessories",45.4,45.4,580,
"Wholesale trade, except of motor vehicles and motorcycles",46,G,581,
Wholesale on a fee or contract basis,46.1,46,582,
"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",46.11,46.1,583,
"Agents involved in the sale of fuels, ores, metals and industrial chemicals",46.12,46.1,584,
Agents involved in the sale of timber and building materials,46.13,46.1,585,
"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",46.14,46.1,586,
"Agents involved in the sale of furniture, household goods, hardware and ironmongery",46.15,46.1,587,
"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",46.16,46.1,588,
"Agents involved in the sale of food, beverages and tobacco",46.17,46.1,589,
Agents specialised in the sale of other particular products,46.18,46.1,590,
Agents involved in the sale of a variety of goods,46.19,46.1,591,
Wholesale of agricultural raw materials and live animals,46.2,46,592,
"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",46.21,46.2,593,
Wholesale of flowers and plants,46.22,46.2,594,
Wholesale of live animals,46.23,46.2,595,
"Wholesale of hides, skins and leather",46.24,46.2,596,
"Wholesale of food, beverages and tobacco",46.3,46,597,
Wholesale of fruit and vegetables,46.31,46.3,598,
Wholesale of meat and meat products,46.32,46.3,599,
"Wholesale of dairy products, eggs and edible oils and fats",46.33,46.3,600,
Wholesale of beverages,46.34,46.3,601,
"Wholesale of fruit and vegetable juices, mineral waters and soft drinks",46.34/1,46.34,602,
"Wholesale of wine, beer, spirits and other alcoholic beverages",46.34/2,46.34,603,
Wholesale of tobacco products,46.35,46.3,604,
Wholesale of sugar and chocolate and sugar confectionery,46.36,46.3,605,
"Wholesale of coffee, tea, cocoa and spices",46.37,46.3,606,
"Wholesale of other food, including fish, crustaceans and molluscs",46.38,46.3,607,
"Non-specialised wholesale of food, beverages and tobacco",46.39,46.3,608,
Wholesale of household goods,46.4,46,609,
Wholesale of textiles,46.41,46.4,610,
Wholesale of clothing and footwear,46.42,46.4,611,
Wholesale of electrical household appliances,46.43,46.4,612,
"Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played",46.43/1,46.43,613,
"Wholesale of radio and television goods and of electrical household appliances (other than of gramophone records, audio tapes, compact discs and video tapes and the equipment on which these are played) n.e.c.",46.43/9,46.43,614,
Wholesale of china and glassware and cleaning materials,46.44,46.4,615,
Wholesale of perfume and cosmetics,46.45,46.4,616,
Wholesale of pharmaceutical goods,46.46,46.4,617,
"Wholesale of furniture, carpets and lighting equipment",46.47,46.4,618,
Wholesale of watches and jewellery,46.48,46.4,619,
Wholesale of other household goods,46.49,46.4,620,
Wholesale of musical instruments,46.49/1,46.49,621,
Wholesale of household goods (other than musical instruments) n.e.c.,46.49/9,46.49,622,
Wholesale of information and communication equipment,46.5,46,623,
"Wholesale of computers, computer peripheral equipment and software",46.51,46.5,624,
Wholesale of electronic and telecommunications equipment and parts,46.52,46.5,625,
"Wholesale of other machinery, equipment and supplies",46.6,46,626,
"Wholesale of agricultural machinery, equipment and supplies",46.61,46.6,627,
Wholesale of machine tools,46.62,46.6,628,
"Wholesale of mining, construction and civil engineering machinery",46.63,46.6,629,
Wholesale of machinery for the textile industry and of sewing and knitting machines,46.64,46.6,630,
Wholesale of office furniture,46.65,46.6,631,
Wholesale of other office machinery and equipment,46.66,46.6,632,
Wholesale of other machinery and equipment,46.69,46.6,633,
Other specialised wholesale,46.7,46,634,
"Wholesale of solid, liquid and gaseous fuels and related products",46.71,46.7,635,
Wholesale of petroleum and petroleum products,46.71/1,46.71,636,
Wholesale of fuels and related products (other than petroleum and petroleum products),46.71/9,46.71,637,
Wholesale of metals and metal ores,46.72,46.7,638,
"Wholesale of wood, construction materials and sanitary equipment",46.73,46.7,639,
"Wholesale of hardware, plumbing and heating equipment and supplies",46.74,46.7,640,
Wholesale of chemical products,46.75,46.7,641,
Wholesale of other intermediate products,46.76,46.7,642,
Wholesale of waste and scrap,46.77,46.7,643,
Non-specialised wholesale trade,46.9,46,644,
Non-specialised wholesale trade,46.9,46.9,645,
"Retail trade, except of motor vehicles and motorcycles",47,G,646,
Retail sale in non-specialised stores,47.1,47,647,
"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47.11,47.1,648,
Other retail sale in non-specialised stores,47.19,47.1,649,
"Retail sale of food, beverages and tobacco in specialised stores",47.2,47,650,
Retail sale of fruit and vegetables in specialised stores,47.21,47.2,651,
Retail sale of meat and meat products in specialised stores,47.22,47.2,652,
"Retail sale of fish, crustaceans and molluscs in specialised stores",47.23,47.2,653,
"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",47.24,47.2,654,
Retail sale of beverages in specialised stores,47.25,47.2,655,
Retail sale of tobacco products in specialised stores,47.26,47.2,656,
Other retail sale of food in specialised stores,47.29,47.2,657,
Retail sale of automotive fuel in specialised stores,47.3,47,658,
Retail sale of automotive fuel in specialised stores,47.3,47.3,659,
Retail sale of information and communication equipment in specialised stores,47.4,47,660,
"Retail sale of computers, peripheral units and software in specialised stores",47.41,47.4,661,
Retail sale of telecommunications equipment in specialised stores,47.42,47.4,662,
Retail sale of mobile telephones in specialised stores,47.42/1,47.42,663,
"Retail sale of telecommunications equipment (other than mobile telephones) n.e.c., in specialised stores",47.42/9,47.42,664,
Retail sale of audio and video equipment in specialised stores,47.43,47.4,665,
Retail sale of other household equipment in specialised stores,47.5,47,666,
Retail sale of textiles in specialised stores,47.51,47.5,667,
"Retail sale of hardware, paints and glass in specialised stores",47.52,47.5,668,
"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",47.53,47.5,669,
Retail sale of electrical household appliances in specialised stores,47.54,47.5,670,
"Retail sale of furniture, lighting equipment and other household articles in specialised stores",47.59,47.5,671,
