Label,Notation,Parent Notation,Sort Priority,Description
Unworked synthetic precious stones,20.13D,66P,,
Fuel elements for nuclear reactors,20.13E,71MK,,
Wood charcoal,20.14A,24,,
Products of tar distillation,20.14B,33R,,
Organic compounds n.e.s,20.14C,51,,
Derivates of vegetables or resin products,20.14D,59,,
Animal & vegetable fertilisers,20.15A,27,,
Chemicals used as fertilisers,20.15B,52,,
Other mineral & chemical fertilisers,20.15C,56,,
Plastics in primary forms,20.16,57,,
Synthetic rubber,20.17,23,,
Pesticides & other agrochemical products,20.2,59,,
"Paints, varnishes & printing ink",20.3,53,,
Glycerol,20.4A,51,,
"Perfumes, cleaning, polishing & toilet peparations n.e.s",20.4B,55,,
Artificial waxes,20.4C,59,,
Chemically modified fats & oils,20.5A,43,,
Essential oils,20.5B,55,,
Other chemical products,20.5C,59,,
Unexposed photographic film & other photographic supplies,20.5D,88I,,
Matches,20.5E,89OC,,
Writing & drawing ink,20.5F,89I,,
Unworked man-made fibres,20.6A,26,,
Man-made filament yarn,20.6B,65,,
"Hides, skins & furskins",21,2OCM,,
Pharmaceutical compounds,21.1A,51,,
Other basic pharmaceutical products,21.1B,54,,
Pharmaceutical preparations,21.2,54,,
Oil-seeds & oleaginous fruits,22,2OCM,,
Reclaimed rubber,22.1A,23,,
Rubber products n.e.s,22.1B,62,,
Rubberized textile fabrics,22.1C,65,,
Rubber clothes & clothing accessories,22.1D,84,,
Rubber soles & heels,22.1E,85,,
Appliances for ostomy use,22.2A,54,,
Plastics in non-primary forms,22.2B,58,,
Linoleum etc,22.2C,65,,
Plastic parts of lamps,22.2D,81I,,
Plastic clothes & clothing accessories,22.2E,84,,
Plastic soles & heels,22.2F,85,,
Other plastic articles,22.2G,89OC,,
"Plastic packing goods, floor coverings, office supplies etc",22.2H,89I,,
Crude rubber,23,2OCM,,
Yarn of glass fibre,23.1A,65,,
Glass & glass products n.e.s,23.1B,66minusP,,
Glass electrical insulators,23.1C,77I,,
Glass parts of lamps,23.1D,81I,,
Refactory products,23.2,66minusP,,
"Bricks, tiles etc",23.3,66minusP,,
Ceramic articles n.e.s,23.4A,66minusP,,
Non-metal magnets,23.4B,77K,,
Ceramic insulators & insulating fittings,23.4C,77I,,
Ceramic sanitary fixtures,23.4D,81I,,
Plaster & calcined dolomite,23.5A,27,,
Cement & lime,23.5B,66minusP,,
Ready-mixed concrete & mortars,23.6A,59,,
"Articles of concrete, plaster & cement n.e.s",23.6B,66minusP,,
Prefabricated buildings of concrete,23.6C,81I,,
"Cut, shaped & finished stones",23.7,66minusP,,
Tarred macadam,23.9A,27,,
Bituminous mixtures,23.9B,33R,,
Artificial corundum,23.9C,52,,
Graphite preparations,23.9D,59,,
Mineral manufactures n.e.s,23.9E,66minusP,,
Wood & cork,24,2,,
Remelting scrap ingots of iron or steel,24.1A,28,,
Other basic iron & steel,24.1B,67,,
"Non-cast steel tubes, pipes & hollow profiles",24.2,67,,
Other cold drawn steel products,24.3A,67,,
Sandwich panels of coated steel sheet,24.3B,69,,
Processed non-ferrous metal ores,24.4A,28,,
Processed nuclear fuel,24.4B,52,,
Silver,24.4C,68S,,
Non-ferrous metals n.e.s,24.4D,68minusS,,
Non-ferrous metal products n.e.s,24.4E,69,,
Platinum catalysts,24.4F,89K,,
Non-monetary gold,24.4G,97,,
Cast iron & steel tubes & pipes,24.5,67,,
Pulp & waste paper,25,2,,
Structural metal products,25.1A,69,,
Prefrabricated buildings of metal,25.1B,81I,,
"Metal tanks, reservoirs & containers",25.2A,69,,
Central heating radiators & boilers,25.2B,81K,,
Parts of central heating boilers,25.2C,81I,,
Steam generators & nuclear reactors,25.3A,71MK,,
Parts of steam generators & nuclear reactors,25.3B,71MI,,
Weapons & ammunition,25.4,98,,
"Cutlery, locks, hinges & tools",25.7A,69,,
Moulds for metal foundry,25.7B,74K,,
"Swords, bayonets etc",25.7C,98,,
Fabricated metal products n.e.s,25.9A,69,,
Ships'propellers,25.9B,74I,,
Metal magnets,25.9C,77K,,
Metal office equipment,25.9D,89K,,
Metal office supplies,25.9E,89I,,
Textile fibres,26,2,,
Pick-up cartridges,26.1A,76I,,
Multi-chip integrated circuits,26.1B,77K,,
Electronic components & printed circuits,26.1C,77I,,
Smart cards,26.1D,89K,,
Computers & peripherals,26.2A,75K,,
Parts of computers,26.2B,75I,,
