Label,Notation,Parent Notation,Sort Priority
Total value of UK trade by industry group,total-value-of-uk-trade-by-industry-group,,
Business count by industry group,business-count-by-industry-group,,
Employee count for businesses by industry group,employee-count-for-businesses-by-industry-group,,
total value of uk trade by age of business,total-value-of-uk-trade-by-age-of-business,,
Business count by age of business,business-count-by-age-of-business,,
Employee count for businesses by age of Busines,employee-count-for-businesses-by-age-of-busines,,
Total value of uk trade by business size,total-value-of-uk-trade-by-business-size,,
Business count by business size,business-count-by-business-size,,
Employee count for businesses by business size,employee-count-for-businesses-by-business-size,,
Employee count for business by industry group and age of business,employee-count-for-business-by-industry-group-and-age-of-business,,
Employee count for business by industry group and business size,employee-count-for-business-by-industry-group-and-business-size,,
Employee count for business by business size and age of business,employee-count-for-business-by-business-size-and-age-of-business,
