Label,Notation,Parent Notation,Sort Priority
Earnings of UK residents on investment abroad,earnings-of-uk-residents-on-investment-abroad,,1
Foreign earnings on investment in the UK,foreign-earnings-on-investment-in-the-uk,,2
Net earnings,net-earnings,,3
