Label,Notation,Parent Notation,Sort Priority,Description
Bromley,nuts3/UKI61,nuts3/all,112,
Buckinghamshire CC,nuts3/UKJ13,nuts3/all,113,
Caithness and Sutherland and Ross and Cromarty,nuts3/UKM61,nuts3/all,114,
Calderdale and Kirklees,nuts3/UKE44,nuts3/all,115,
Cambridgeshire CC,nuts3/UKH12,nuts3/all,116,
Camden and City of London,nuts3/UKI31,nuts3/all,117,
Cardiff and Vale of Glamorgan,nuts3/UKL22,nuts3/all,118,
Causeway Coast and Glens,nuts3/UKN12,nuts3/all,119,
Central Bedfordshire,nuts3/UKH25,nuts3/all,120,
Central Hampshire,nuts3/UKJ36,nuts3/all,121,
Central Valleys,nuts3/UKL15,nuts3/all,122,
Cheshire East,nuts3/UKD62,nuts3/all,123,
Cheshire West and Chester,nuts3/UKD63,nuts3/all,124,
Chorley and West Lancashire,nuts3/UKD47,nuts3/all,125,
City of Edinburgh,nuts3/UKM75,nuts3/all,126,
Clackmannanshire and Fife,nuts3/UKM72,nuts3/all,127,
Conwy and Denbighshire,nuts3/UKL13,nuts3/all,128,
Cornwall and Isles of Scilly,nuts3/UKK30,nuts3/all,129,
Coventry,nuts3/UKG33,nuts3/all,130,
Croydon,nuts3/UKI62,nuts3/all,131,
Darlington,nuts3/UKC13,nuts3/all,132,
Derby,nuts3/UKF11,nuts3/all,133,
Derry City and Strabane,nuts3/UKN10,nuts3/all,134,
Devon CC,nuts3/UKK43,nuts3/all,135,
Dudley,nuts3/UKG36,nuts3/all,136,
Dumfries and Galloway,nuts3/UKM92,nuts3/all,137,
Durham CC,nuts3/UKC14,nuts3/all,138,
EA BTTA,nuts3/ea-btta,nuts3/all,139,
EA Energy,nuts3/ea-energy,nuts3/all,140,
EA Other,nuts3/ea-other,nuts3/all,141,
Ealing,nuts3/UKI73,nuts3/all,142,
East Ayrshire and North Ayrshire mainland,nuts3/UKM93,nuts3/all,143,
East Cumbria,nuts3/UKD12,nuts3/all,144,
East Derbyshire,nuts3/UKF12,nuts3/all,145,
"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",nuts3/UKM81,nuts3/all,146,
East Kent,nuts3/UKJ44,nuts3/all,147,
East Lancashire,nuts3/UKD46,nuts3/all,148,
East Lothian and Midlothian,nuts3/UKM73,nuts3/all,149,
East Merseyside,nuts3/UKD71,nuts3/all,150,
East Riding of Yorkshire,nuts3/UKE12,nuts3/all,151,
East Surrey,nuts3/UKJ26,nuts3/all,152,
East Sussex CC,nuts3/UKJ22,nuts3/all,153,
EM BTTA,nuts3/em-btta,nuts3/all,154,
EM Energy,nuts3/em-energy,nuts3/all,155,
EM Other,nuts3/em-other,nuts3/all,156,
Enfield,nuts3/UKI54,nuts3/all,157,
Essex Haven Gateway,nuts3/UKH34,nuts3/all,158,
Essex Thames Gateway,nuts3/UKH37,nuts3/all,159,
Falkirk,nuts3/UKM76,nuts3/all,160,
