Namespace,Label,Path,Qb Property Type,Parent Property,Source,Range,Codelist,Comment
trade,Product,dimension/cpa,qb:DimensionProperty,,,skos:Concept,http://stamina-project.org/codes/cpav2008/cpa,Classification of Products by Activity
trade,GDP Estimate Type,dimension/gdp-estimate-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/gdp-estimate-type,
trade,Alcohol Duty,dimension/alcohol-duty,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/alcohol-duty,Alcohol Duty
trade,Alcohol Content,dimension/alcohol-content,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/alcohol-content,Alcohol by volume (ABV)
trade,Alcohol Category,dimension/alcohol-category,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/alcohol-category,Alcohol Category
trade,GDP Measure,dimension/gdp-measure,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/gdp-measure,
trade,Status,dimension/status,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/status,
trade,Alcohol by Volume,dimension/alcohol-by-volume,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/alcohol-by-volume,Alcohol by Volume
trade,Alcohol Type,dimension/alcohol-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/alcohol-type,Alcohol Type
trade,Alcohol Origin,dimension/alcohol-origin,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/alcohol-origin,Alcohol Origin
trade,Alcohol Bulletin Type,dimension/bulletin-type,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/bulletin-type,Alcohol Bulletin Type
trade,Production and Clearance,dimension/production-and-clearance,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/production-and-clearance,Production and Clearance
trade,Growth,dimension/growth,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/growth,growth
trade,Trade Services,dimension/trade-services,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/trade-services,
trade,Industry Section,dimension/industry-section,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/industry-section,
trade,CDID,dimension/cdid,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/cdid,
trade,ONS Industry Classification,dimension/ons-industry,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/ons-industry,
trade,Country Area,dimension/country-area,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/country-area,
trade,Commodity,dimension/commodity,qb:DimensionProperty,,,skos:Concept,http://gss-data.org.uk/def/trade/concept-scheme/commodity,
