URI,Notation,Label,Parent URI,Sort Priority
http://data.europa.eu/nuts/code/UKI4,UKI4,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,36
http://data.europa.eu/nuts/code/UKI5,UKI5,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,37
http://data.europa.eu/nuts/code/UKI6,UKI6,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,38
http://data.europa.eu/nuts/code/UKI7,UKI7,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,39
http://data.europa.eu/nuts/code/UKJ1,UKJ1,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,40
http://data.europa.eu/nuts/code/UKJ2,UKJ2,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,41
http://data.europa.eu/nuts/code/UKJ3,UKJ3,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,42
http://data.europa.eu/nuts/code/UKJ4,UKJ4,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,43
http://data.europa.eu/nuts/code/UKK1,UKK1,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,44
http://data.europa.eu/nuts/code/UKK2,UKK2,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,45
http://data.europa.eu/nuts/code/UKK3,UKK3,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,46
http://data.europa.eu/nuts/code/UKK4,UKK4,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,47
http://data.europa.eu/nuts/code/UKL1,UKL1,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,48
http://data.europa.eu/nuts/code/UKL2,UKL2,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,49
http://data.europa.eu/nuts/code/UKM5,UKM5,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,50
http://data.europa.eu/nuts/code/UKM6,UKM6,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,51
http://data.europa.eu/nuts/code/UKM7,UKM7,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,52
http://data.europa.eu/nuts/code/UKM8,UKM8,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,53
http://data.europa.eu/nuts/code/UKM9,UKM9,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,54
http://data.europa.eu/nuts/code/UKC11,UKC11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,55
http://data.europa.eu/nuts/code/UKC12,UKC12,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,56
http://data.europa.eu/nuts/code/UKC13,UKC13,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,57
http://data.europa.eu/nuts/code/UKC14,UKC14,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,58
http://data.europa.eu/nuts/code/UKC21,UKC21,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,59
http://data.europa.eu/nuts/code/UKC22,UKC22,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,60
http://data.europa.eu/nuts/code/UKC23,UKC23,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,61
http://data.europa.eu/nuts/code/UKD11,UKD11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,62
http://data.europa.eu/nuts/code/UKD12,UKD12,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,63
http://data.europa.eu/nuts/code/UKD33,UKD33,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,64
http://data.europa.eu/nuts/code/UKD34,UKD34,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,65
http://data.europa.eu/nuts/code/UKD35,UKD35,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,66
http://data.europa.eu/nuts/code/UKD36,UKD36,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,67
http://data.europa.eu/nuts/code/UKD37,UKD37,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,68
http://data.europa.eu/nuts/code/UKD41,UKD41,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,69
http://data.europa.eu/nuts/code/UKD42,UKD42,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,70
http://data.europa.eu/nuts/code/UKD44,UKD44,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,71
http://data.europa.eu/nuts/code/UKD45,UKD45,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,72
http://data.europa.eu/nuts/code/UKD46,UKD46,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,73
http://data.europa.eu/nuts/code/UKD47,UKD47,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,74
http://data.europa.eu/nuts/code/UKD61,UKD61,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,75
http://data.europa.eu/nuts/code/UKD62,UKD62,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,76
http://data.europa.eu/nuts/code/UKD63,UKD63,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,77
http://data.europa.eu/nuts/code/UKD71,UKD71,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,78
http://data.europa.eu/nuts/code/UKD72,UKD72,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,79
http://data.europa.eu/nuts/code/UKD73,UKD73,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,80
http://data.europa.eu/nuts/code/UKD74,UKD74,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,81
http://data.europa.eu/nuts/code/UKE11,UKE11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,82
http://data.europa.eu/nuts/code/UKE12,UKE12,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,83
http://data.europa.eu/nuts/code/UKE13,UKE13,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,84
http://data.europa.eu/nuts/code/UKE21,UKE21,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,85
http://data.europa.eu/nuts/code/UKE22,UKE22,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,86
http://data.europa.eu/nuts/code/UKE31,UKE31,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,87
http://data.europa.eu/nuts/code/UKE32,UKE32,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,88
http://data.europa.eu/nuts/code/UKE41,UKE41,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,89
http://data.europa.eu/nuts/code/UKE42,UKE42,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,90
http://data.europa.eu/nuts/code/UKE44,UKE44,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,91
http://data.europa.eu/nuts/code/UKE45,UKE45,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,92
http://data.europa.eu/nuts/code/UKF11,UKF11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,93
http://data.europa.eu/nuts/code/UKF12,UKF12,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,94
http://data.europa.eu/nuts/code/UKF13,UKF13,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,95
http://data.europa.eu/nuts/code/UKF14,UKF14,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,96
http://data.europa.eu/nuts/code/UKF15,UKF15,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,97
http://data.europa.eu/nuts/code/UKF16,UKF16,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,98
http://data.europa.eu/nuts/code/UKF21,UKF21,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,99
http://data.europa.eu/nuts/code/UKF22,UKF22,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,100
http://data.europa.eu/nuts/code/UKF24,UKF24,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,101
http://data.europa.eu/nuts/code/UKF25,UKF25,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,102
http://data.europa.eu/nuts/code/UKF30,UKF30,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,103
http://data.europa.eu/nuts/code/UKG11,UKG11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,104
http://data.europa.eu/nuts/code/UKG12,UKG12,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,105
http://data.europa.eu/nuts/code/UKG13,UKG13,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,106
http://data.europa.eu/nuts/code/UKG21,UKG21,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,107
http://data.europa.eu/nuts/code/UKG22,UKG22,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,108
http://data.europa.eu/nuts/code/UKG23,UKG23,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,109
http://data.europa.eu/nuts/code/UKG24,UKG24,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,110
http://data.europa.eu/nuts/code/UKG31,UKG31,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,111
http://data.europa.eu/nuts/code/UKG32,UKG32,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,112
http://data.europa.eu/nuts/code/UKG33,UKG33,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,113
http://data.europa.eu/nuts/code/UKG36,UKG36,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,114
http://data.europa.eu/nuts/code/UKG37,UKG37,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,115
http://data.europa.eu/nuts/code/UKG38,UKG38,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,116
