Label,Notation,Parent Notation,Sort Priority
Travel related trade,travel-related-trade,,1
Primary and Utilities,primary-and-utilities,,2
Manufacturing,manufacturing,,3
Construction,construction,,4
Transportation and Storage,transportation-and-storage,,5
Accommodation and Food service activities,accommodation-and-food-service-activities,,6
Information and Communication,information-and-communication,,7
Financial and Insurance activities,financial-and-insurance-activities,,8
Real estate activities,real-estate-activities,,9
Professional Scientific and Technical activities,professional-scientific-and-technical-activities,,10
Administrative and Support service activities,administrative-and-support-service-activities,,11
Other Service industries,other-service-industries,,12
Wholesale and Motor trades,wholesale-and-motor-trades,,13
Retail excluding Motor trades,retail-excluding-motor-trades,,14
Travel,travel,,15
All Industries,all-industries,,16
Non Manufacturing,non-manufacturing,,17
Real Estate Professional Scientific and Technical activities,real-estate-professional-scientific-and-technical-activities,,18
Production A - F,production-a-f,,19
Business based Professional services L - N,business-based-professional-services-l-n,,20
"Other Services G, K, O, S",other-services-g-k-o-s,,21
