Label,Notation,Parent Notation,Sort Priority,Description
Administrative and support service activities,administrative-and-support-service-activities,,0,
"Agriculture, forest & fishing",agriculture-forest-fishing,,1,
All Activities,all-activities,,2,
"Computer, electronic and optical products",computer-electronic-and-optical-products,,3,
Construction,construction,,4,
"Electricity, gas, water and waste",electricity-gas-water-and-waste,,5,
Financial services,financial-services,,6,
"Food products, beverages & tobacco products",food-products-beverages-tobacco-products,,7,
Information and communication,information-and-communication,,8,
Metal and machinery products,metal-and-machinery-products,,9,
Mining & quarrying,mining-quarrying,,10,
Other manufacturing,other-manufacturing,,11,
Other services,other-services,,12,
"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",petroleum-chemicals-pharmaceuticals-rubber-plastic-products,,13,
"Professional, scientific & technical services",professional-scientific-technical-services,,14,
"Retail & wholesale trade, repair of motor vehicles & motor cycles,",retail-wholesale-trade-repair-of-motor-vehicles-motor-cycles,,15,
Textiles & wood activities,textiles-wood-activities,,16,
Transport equipment,transport-equipment,,17,
Transportation & storage,transportation-storage,,18,
