Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2017,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,246.0,
inward,2018,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,125.0,
inward,2019,BPM6,cyprus,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2010,BPM5,czech-republic,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2011,BPM5,czech-republic,total-net-fdi-in-the-uk,all-activities,-4.0,
inward,2012,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2015,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,21.0,
inward,2016,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2017,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2018,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,-14.0,
inward,2019,BPM6,czech-republic,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2010,BPM5,denmark,total-net-fdi-in-the-uk,all-activities,-601.0,
inward,2011,BPM5,denmark,total-net-fdi-in-the-uk,all-activities,-822.0,
inward,2012,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,506.0,
inward,2013,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,-1291.0,
inward,2014,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,281.0,
inward,2015,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,451.0,
inward,2016,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,47.0,
inward,2017,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,-703.0,
inward,2018,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,295.0,
inward,2019,BPM6,denmark,total-net-fdi-in-the-uk,all-activities,880.0,
