Year,NUTS Geography,HMRC Partner Geography,Flow Directions,SITC 4,Value,Marker
2019,nuts1/UKH,C,exports,all,13609,
2019,nuts1/all,C,exports,all,122981,
2019,nuts1/all,europe,exports,all,160817,
2019,nuts1/UKF,C,exports,all,10317,
2019,nuts1/all,non-eu,exports,all,80055,
2019,nuts1/all,europe,imports,all,258400,
2019,nuts1/UKI,C,exports,all,21122,
2019,nuts1/all,C,imports,all,175937,
2019,nuts1/UKC,C,exports,all,3340,
2019,nuts1/all,non-eu,imports,all,130232,
2019,nuts1/UKN,C,exports,all,8476,
2019,nuts1/UKD,C,exports,all,13254,
2019,nuts1/UKM,C,exports,all,6865,
2019,nuts1/UKJ,C,exports,all,22956,
2019,nuts1/UKK,C,exports,all,10950,
2019,nuts1/UKL,C,exports,all,4168,
2019,nuts1/UKG,C,exports,all,12061,
2019,nuts1/UKE,C,exports,all,9778,
2019,nuts1/UNK,C,exports,all,3258,
2019,nuts1/UNU,C,exports,all,,not-applicable
2019,nuts1/UKH,non-eu,exports,all,9579,
2019,nuts1/UKF,non-eu,exports,all,6898,
2019,nuts1/UKI,non-eu,exports,all,16822,
2019,nuts1/UKC,non-eu,exports,all,2670,
2019,nuts1/UKN,non-eu,exports,all,1608,
2019,nuts1/UKD,non-eu,exports,all,8879,
2019,nuts1/UKM,non-eu,exports,all,5541,
2019,nuts1/UKJ,non-eu,exports,all,14871,
2019,nuts1/UKK,non-eu,exports,all,7626,
2019,nuts1/UKL,non-eu,exports,all,3026,
2019,nuts1/UKG,non-eu,exports,all,8341,
2019,nuts1/UKE,non-eu,exports,all,7019,
2019,nuts1/UNK,non-eu,exports,all,6041,
2019,nuts1/UNU,non-eu,exports,all,,not-applicable
2019,nuts1/UKH,C,imports,all,19119,
2019,nuts1/UKF,C,imports,all,13988,
2019,nuts1/UKI,C,imports,all,31807,
2019,nuts1/UKC,C,imports,all,4738,
2019,nuts1/UKN,C,imports,all,14616,
2019,nuts1/UKD,C,imports,all,16958,
2019,nuts1/UKM,C,imports,all,11464,
2019,nuts1/UKJ,C,imports,all,31789,
2019,nuts1/UKK,C,imports,all,16917,
2019,nuts1/UKL,C,imports,all,6351,
2019,nuts1/UKG,C,imports,all,15469,
2019,nuts1/UKE,C,imports,all,13265,
2019,nuts1/UNK,C,imports,all,2809,
2019,nuts1/UNU,C,imports,all,,not-applicable
2019,nuts1/UKH,non-eu,imports,all,13306,
2019,nuts1/UKF,non-eu,imports,all,9471,
2019,nuts1/UKI,non-eu,imports,all,31034,
2019,nuts1/UKC,non-eu,imports,all,3579,
2019,nuts1/UKN,non-eu,imports,all,3018,
2019,nuts1/UKD,non-eu,imports,all,16927,
2019,nuts1/UKM,non-eu,imports,all,7256,
2019,nuts1/UKJ,non-eu,imports,all,21488,
2019,nuts1/UKK,non-eu,imports,all,10053,
2019,nuts1/UKL,non-eu,imports,all,5149,
2019,nuts1/UKG,non-eu,imports,all,11835,
2019,nuts1/UKE,non-eu,imports,all,9648,
2019,nuts1/UNK,non-eu,imports,all,8899,
2019,nuts1/UNU,non-eu,imports,all,,not-applicable
2019,nuts2/UKH2,C,exports,all,5059,
2019,nuts2/ea-btta,C,exports,all,,not-applicable
2019,nuts2/ea-energy,C,exports,all,,not-applicable
2019,nuts2/ea-other,C,exports,all,188,
2019,nuts2/UKH1,C,exports,all,5766,
2019,nuts2/UKH3,C,exports,all,3747,
2019,nuts2/UKF1,C,exports,all,4369,
2019,nuts2/em-btta,C,exports,all,,not-applicable
2019,nuts2/em-energy,C,exports,all,,not-applicable
2019,nuts2/em-other,C,exports,all,155,
2019,nuts2/UKF2,C,exports,all,5019,
2019,nuts2/UKF3,C,exports,all,1671,
2019,nuts2/UKI4,C,exports,all,5499,
2019,nuts2/UKI3,C,exports,all,8091,
2019,nuts2/lo-btta,C,exports,all,,not-applicable
2019,nuts2/lo-other,C,exports,all,424,
2019,nuts2/UKI5,C,exports,all,2351,
2019,nuts2/UKI6,C,exports,all,2242,
2019,nuts2/UKI7,C,exports,all,4666,
2019,nuts2/ne-btta,C,exports,all,,not-applicable
2019,nuts2/ne-other,C,exports,all,98,
2019,nuts2/UKC2,C,exports,all,2082,
2019,nuts2/UKC1,C,exports,all,1576,
2019,nuts2/UKN0,C,exports,all,8476,
2019,nuts2/UKD6,C,exports,all,2623,
2019,nuts2/UKD1,C,exports,all,945,
2019,nuts2/UKD3,C,exports,all,6339,
2019,nuts2/UKD4,C,exports,all,2947,
2019,nuts2/UKD7,C,exports,all,2086,
2019,nuts2/nw-btta,C,exports,all,,not-applicable
2019,nuts2/nw-energy,C,exports,all,,not-applicable
2019,nuts2/nw-other,C,exports,all,205,
2019,nuts2/UKM7,C,exports,all,2892,
2019,nuts2/UKM6,C,exports,all,957,
2019,nuts2/UKM5,C,exports,all,1290,
2019,nuts2/sc-btta,C,exports,all,,not-applicable
2019,nuts2/sc-energy,C,exports,all,,not-applicable
2019,nuts2/sc-other,C,exports,all,167,
2019,nuts2/UKM9,C,exports,all,1302,
2019,nuts2/UKM8,C,exports,all,2183,
2019,nuts2/UKJ1,C,exports,all,7324,
2019,nuts2/UKJ3,C,exports,all,5509,
2019,nuts2/UKJ4,C,exports,all,3511,
2019,nuts2/se-btta,C,exports,all,,not-applicable
2019,nuts2/se-energy,C,exports,all,,not-applicable
2019,nuts2/se-other,C,exports,all,393,
2019,nuts2/UKJ2,C,exports,all,8352,
2019,nuts2/UKK3,C,exports,all,1121,
2019,nuts2/UKK4,C,exports,all,2310,
2019,nuts2/UKK2,C,exports,all,3042,
2019,nuts2/UKK1,C,exports,all,5738,
2019,nuts2/sw-btta,C,exports,all,,not-applicable
2019,nuts2/sw-other,C,exports,all,168,
2019,nuts2/UKL2,C,exports,all,2163,
2019,nuts2/wa-btta,C,exports,all,,not-applicable
2019,nuts2/wa-energy,C,exports,all,,not-applicable
2019,nuts2/wa-other,C,exports,all,96,
2019,nuts2/UKL1,C,exports,all,2393,
2019,nuts2/UKG1,C,exports,all,4075,
2019,nuts2/UKG2,C,exports,all,3744,
2019,nuts2/wm-btta,C,exports,all,,not-applicable
2019,nuts2/wm-other,C,exports,all,163,
2019,nuts2/UKG3,C,exports,all,5150,
2019,nuts2/UKE1,C,exports,all,1840,
2019,nuts2/UKE2,C,exports,all,2043,
2019,nuts2/UKE3,C,exports,all,2473,
2019,nuts2/UKE4,C,exports,all,4731,
2019,nuts2/yh-btta,C,exports,all,,not-applicable
2019,nuts2/yh-other,C,exports,all,145,
2019,nuts2/UKH2,non-eu,exports,all,3596,
2019,nuts2/ea-other,non-eu,exports,all,162,
2019,nuts2/UKH1,non-eu,exports,all,4207,
2019,nuts2/UKH3,non-eu,exports,all,2936,
2019,nuts2/UKF1,non-eu,exports,all,3079,
2019,nuts2/em-other,non-eu,exports,all,134,
2019,nuts2/UKF2,non-eu,exports,all,3548,
2019,nuts2/UKF3,non-eu,exports,all,1129,
2019,nuts2/UKI4,non-eu,exports,all,4283,
2019,nuts2/UKI3,non-eu,exports,all,7475,
2019,nuts2/lo-other,non-eu,exports,all,370,
2019,nuts2/UKI5,non-eu,exports,all,1769,
2019,nuts2/UKI6,non-eu,exports,all,1709,
2019,nuts2/UKI7,non-eu,exports,all,3931,
2019,nuts2/ne-other,non-eu,exports,all,73,
2019,nuts2/UKC2,non-eu,exports,all,1765,
2019,nuts2/UKC1,non-eu,exports,all,1319,
2019,nuts2/UKN0,non-eu,exports,all,1608,
2019,nuts2/UKD6,non-eu,exports,all,1915,
2019,nuts2/UKD1,non-eu,exports,all,749,
2019,nuts2/UKD3,non-eu,exports,all,4334,
2019,nuts2/UKD4,non-eu,exports,all,2087,
2019,nuts2/UKD7,non-eu,exports,all,1726,
2019,nuts2/nw-energy,non-eu,exports,all,,not-applicable
2019,nuts2/nw-other,non-eu,exports,all,202,
2019,nuts2/UKM7,non-eu,exports,all,2374,
2019,nuts2/UKM6,non-eu,exports,all,819,
2019,nuts2/UKM5,non-eu,exports,all,1492,
2019,nuts2/sc-energy,non-eu,exports,all,,not-applicable
2019,nuts2/sc-other,non-eu,exports,all,187,
2019,nuts2/UKM9,non-eu,exports,all,1020,
2019,nuts2/UKM8,non-eu,exports,all,1942,
2019,nuts2/UKJ1,non-eu,exports,all,5616,
2019,nuts2/UKJ3,non-eu,exports,all,3624,
2019,nuts2/UKJ4,non-eu,exports,all,2558,
2019,nuts2/se-other,non-eu,exports,all,307,
2019,nuts2/UKJ2,non-eu,exports,all,5243,
2019,nuts2/UKK3,non-eu,exports,all,822,
2019,nuts2/UKK4,non-eu,exports,all,1711,
2019,nuts2/UKK2,non-eu,exports,all,2134,
2019,nuts2/UKK1,non-eu,exports,all,4326,
2019,nuts2/sw-other,non-eu,exports,all,164,
2019,nuts2/UKL2,non-eu,exports,all,1712,
2019,nuts2/wa-other,non-eu,exports,all,103,
2019,nuts2/UKL1,non-eu,exports,all,1739,
2019,nuts2/UKG1,non-eu,exports,all,2795,
2019,nuts2/UKG2,non-eu,exports,all,2652,
2019,nuts2/wm-other,non-eu,exports,all,168,
2019,nuts2/UKG3,non-eu,exports,all,3918,
2019,nuts2/UKE1,non-eu,exports,all,1315,
2019,nuts2/UKE2,non-eu,exports,all,1498,
2019,nuts2/UKE3,non-eu,exports,all,2044,
2019,nuts2/UKE4,non-eu,exports,all,3602,
2019,nuts2/yh-other,non-eu,exports,all,142,
2019,nuts2/UKH2,C,imports,all,6672,
2019,nuts2/ea-btta,C,imports,all,,not-applicable
2019,nuts2/ea-energy,C,imports,all,,not-applicable
2019,nuts2/ea-other,C,imports,all,245,
2019,nuts2/UKH1,C,imports,all,8484,
2019,nuts2/UKH3,C,imports,all,5406,
2019,nuts2/UKF1,C,imports,all,5982,
2019,nuts2/em-btta,C,imports,all,,not-applicable
2019,nuts2/em-other,C,imports,all,188,
2019,nuts2/UKF2,C,imports,all,6681,
2019,nuts2/UKF3,C,imports,all,2480,
2019,nuts2/UKI4,C,imports,all,8357,
2019,nuts2/UKI3,C,imports,all,12611,
2019,nuts2/lo-btta,C,imports,all,,not-applicable
2019,nuts2/lo-other,C,imports,all,523,
2019,nuts2/UKI5,C,imports,all,3456,
2019,nuts2/UKI6,C,imports,all,3368,
2019,nuts2/UKI7,C,imports,all,6869,
2019,nuts2/ne-btta,C,imports,all,,not-applicable
2019,nuts2/ne-other,C,imports,all,108,
2019,nuts2/UKC2,C,imports,all,2989,
2019,nuts2/UKC1,C,imports,all,2252,
2019,nuts2/UKN0,C,imports,all,14616,
2019,nuts2/UKD6,C,imports,all,3708,
2019,nuts2/UKD1,C,imports,all,1662,
2019,nuts2/UKD3,C,imports,all,7068,
2019,nuts2/UKD4,C,imports,all,4101,
2019,nuts2/UKD7,C,imports,all,2914,
